Order,Superfamily,Species,Kappeler & Pozzi 3 state,Lukas & Clutton-Brock 3 state,Olivier et al 3 state,Shultz et al 3 state,Müller & Thalmann 3 state,Müller & Thalmann 5 state,Additional 3 state,Additional 5 state,Genus
Primates,Tarsioidea,Tarsius_bancanus,"P, G",S,S,S,NA,NA,NA,NA,Tarsius
Primates,Tarsioidea,Tarsius_lariang,"P, G",NA,P,NA,NA,NA,NA,NA,Tarsius
Primates,Tarsioidea,Tarsius_pumilus,NA,S,G,NA,NA,NA,NA,NA,Tarsius
Primates,Tarsioidea,Tarsius_sangirensis,"P, G",S,P,NA,NA,NA,NA,NA,Tarsius
Primates,Tarsioidea,Tarsius_syrichta,S,S,S,S,NA,NA,NA,NA,Tarsius
Primates,Tarsioidea,Tarsius_tarsier,"P, G",S,P,NA,NA,NA,NA,NA,Tarsius
Primates,Cercopithecoidea,Theropithecus_gelada,G,G,G,G,G,G,NA,NA,Theropithecus
Primates,Cercopithecoidea,Trachypithecus_auratus,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_cristatus,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_francoisi,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_geei,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_germaini,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_johnii,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_obscurus,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_phayrei,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_pileatus,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_poliocephalus,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_shortridgei,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_vetulus,G,G,G,G,G,G,NA,NA,Trachypithecus
Primates,Lemuroidea,Varecia_variegata,G,G,G,G,G,G,NA,NA,Varecia
Primates,Lemuroidea,Cheirogaleus_crossleyi,S,P,NA,NA,NA,NA,NA,NA,Cheirogaleus
Primates,Lemuroidea,Cheirogaleus_minusculus,NA,P,NA,NA,NA,NA,NA,NA,Cheirogaleus
Primates,Lemuroidea,Cheirogaleus_ravus,NA,P,NA,NA,NA,NA,NA,NA,Cheirogaleus
Primates,Lemuroidea,Cheirogaleus_sibreei,S,P,NA,NA,NA,NA,NA,NA,Cheirogaleus
Primates,Lemuroidea,Microcebus_arnholdi,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
