Order,Superfamily,Species,Kappeler & Pozzi 3 state,Lukas & Clutton-Brock 3 state,Olivier et al 3 state,Shultz et al 3 state,Müller & Thalmann 3 state,Müller & Thalmann 5 state,Additional 3 state,Additional 5 state,Genus
Primates,Lemuroidea,Allocebus_trichotis,S,S,G,"S, P",NA,NA,NA,NA,Allocebus
Primates,Cercopithecoidea,Cercopithecus_preussi,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Ceboidea,Alouatta_caraya,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_discolor,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_guariba,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_palliata,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_pigra,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_sara,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_seniculus,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Aotus_azarae,P,P,P,P,P,P,NA,NA,Aotus
Primates,Ceboidea,Aotus_nigriceps,P,P,P,P,P,P,NA,NA,Aotus
Primates,Ceboidea,Aotus_zonalis,P,P,P,P,P,P,NA,NA,Aotus
Primates,Ceboidea,Ateles_belzebuth,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_chamek,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_geoffroyi,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_hybridus,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_marginatus,G,G,G,G,G,G,NA,NA,Ateles
Primates,Lemuroidea,Avahi_laniger,P,P,P,P,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_meridionalis,P,NA,P,NA,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_occidentalis,P,P,P,P,NA,NA,NA,NA,Avahi
Primates,Ceboidea,Brachyteles_arachnoides,G,G,G,G,G,G,NA,NA,Brachyteles
Primates,Ceboidea,Brachyteles_hypoxanthus,G,G,G,G,G,G,NA,NA,Brachyteles
Primates,Ceboidea,Cacajao_calvus,G,G,G,G,G,G,NA,NA,Cacajao
Primates,Ceboidea,Cacajao_melanocephalus,G,G,G,G,G,G,NA,NA,Cacajao
Primates,Ceboidea,Callicebus_coimbrai,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callicebus_melanochir,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callicebus_nigrifrons,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callicebus_personatus,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callimico_goeldii,P,P,P,P,P,P,NA,NA,Callimico
Primates,Ceboidea,Callithrix_aurita,G,G,G,G,G,G,NA,NA,Callithrix
Primates,Ceboidea,Callithrix_flaviceps,G,G,G,G,G,G,NA,NA,Callithrix
Primates,Ceboidea,Callithrix_jacchus,G,G,G,G,G,G,NA,NA,Callithrix
Primates,Ceboidea,Callithrix_penicillata,G,G,G,G,G,G,NA,NA,Callithrix
Primates,Ceboidea,Cebus_albifrons,G,G,G,G,G,G,NA,NA,Cebus
Primates,Ceboidea,Cebus_capucinus,G,G,G,G,G,G,NA,NA,Cebus
Primates,Ceboidea,Cebus_kaapori,G,G,G,G,G,G,NA,NA,Cebus
Primates,Ceboidea,Cebus_olivaceus,G,G,G,G,G,G,NA,NA,Cebus
Primates,Cercopithecoidea,Cercocebus_agilis,G,G,G,G,G,G,NA,NA,Cercocebus
Primates,Cercopithecoidea,Cercocebus_atys,G,G,G,G,G,G,NA,NA,Cercocebus
Primates,Cercopithecoidea,Cercocebus_galeritus,G,G,G,G,G,G,NA,NA,Cercocebus
Primates,Cercopithecoidea,Cercocebus_sanjei,G,G,G,G,G,G,NA,NA,Cercocebus
Primates,Cercopithecoidea,Cercocebus_torquatus,G,G,G,G,G,G,NA,NA,Cercocebus
Primates,Cercopithecoidea,Cercopithecus_ascanius,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_campbelli,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_cephus,P,P,P,P,P,P,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_pogonias,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_diana,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_erythrogaster,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_mitis,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_mona,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_neglectus,P,P,P,P,P,P,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_nictitans,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_petaurista,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Lemuroidea,Cheirogaleus_major,S,P,P,S,NA,NA,NA,NA,Cheirogaleus
Primates,Lemuroidea,Cheirogaleus_medius,P,P,P,"S, P",P,D-P,NA,NA,Cheirogaleus
Primates,Ceboidea,Callicebus_lugens,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callicebus_torquatus,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Chiropotes_satanas,G,G,G,G,G,G,NA,NA,Chiropotes
Primates,Cercopithecoidea,Chlorocebus_aethiops,G,G,G,G,G,G,NA,NA,Chlorocebus
Primates,Cercopithecoidea,Chlorocebus_pygerythrus,G,G,G,G,G,G,NA,NA,Chlorocebus
Primates,Cercopithecoidea,Colobus_angolensis,G,G,G,G,G,G,NA,NA,Colobus
Primates,Cercopithecoidea,Colobus_guereza,G,G,G,G,G,G,NA,NA,Colobus
Primates,Cercopithecoidea,Colobus_polykomos,G,G,G,G,G,G,NA,NA,Colobus
Primates,Cercopithecoidea,Colobus_satanas,G,G,G,G,G,G,NA,NA,Colobus
Primates,Cercopithecoidea,Colobus_vellerosus,G,G,G,G,G,G,NA,NA,Colobus
Primates,Lemuroidea,Daubentonia_madagascariensis,S,S,S,S,G,D-G,NA,NA,Daubentonia
Primates,Cercopithecoidea,Erythrocebus_patas,G,G,G,G,G,G,NA,NA,Erythrocebus
Primates,Lemuroidea,Eulemur_collaris,G,G,G,G,G,G,NA,NA,Eulemur
Primates,Lemuroidea,Eulemur_flavifrons,G,G,G,G,G,G,NA,NA,Eulemur
Primates,Lemuroidea,Eulemur_fulvus,G,G,G,G,G,G,NA,NA,Eulemur
Primates,Lemuroidea,Eulemur_macaco,G,G,G,G,G,G,NA,NA,Eulemur
Primates,Lemuroidea,Eulemur_mongoz,P,P,P,P,P,P,NA,NA,Eulemur
Primates,Lemuroidea,Eulemur_rubriventer,P,P,P,P,P,P,NA,NA,Eulemur
Primates,Lemuroidea,Eulemur_rufifrons,G,G,G,G,G,G,NA,NA,Eulemur
Primates,Lemuroidea,Eulemur_rufus,G,G,G,G,G,G,NA,NA,Eulemur
Primates,Lorisoidea,Galagoides_zanzibaricus,P,S,P,"S, P, G",P,D-P,NA,NA,Galagoides
Primates,Hominoidea,Gorilla_beringei,G,G,G,G,G,G,NA,NA,Gorilla
Primates,Hominoidea,Gorilla_gorilla,G,G,G,G,G,G,NA,NA,Gorilla
Primates,Lemuroidea,Hapalemur_alaotrensis,P,P,P,P,P,P,NA,NA,Hapalemur
Primates,Lemuroidea,Hapalemur_aureus,P,P,P,P,P,P,NA,NA,Hapalemur
Primates,Lemuroidea,Hapalemur_griseus,G,G,G,G,G,G,NA,NA,Hapalemur
Primates,Lemuroidea,Hapalemur_meridionalis,G,G,G,G,G,G,NA,NA,Hapalemur
Primates,Hominoidea,Hoolock_hoolock,P,P,P,P,P,P,NA,NA,Hoolock
Primates,Hominoidea,Hoolock_leuconedys,P,P,P,P,P,P,NA,NA,Hoolock
Primates,Hominoidea,Hylobates_agilis,P,P,P,P,P,P,NA,NA,Hylobates
Primates,Hominoidea,Hylobates_albibarbis,P,P,P,P,P,P,NA,NA,Hylobates
Primates,Hominoidea,Hylobates_muelleri,P,P,P,P,P,P,NA,NA,Hylobates
Primates,Hominoidea,Hylobates_klossii,P,P,P,P,P,P,NA,NA,Hylobates
Primates,Hominoidea,Hylobates_lar,P,P,P,P,P,P,NA,NA,Hylobates
Primates,Hominoidea,Hylobates_moloch,P,P,P,P,P,P,NA,NA,Hylobates
Primates,Hominoidea,Hylobates_pileatus,P,P,P,P,P,P,NA,NA,Hylobates
Primates,Lemuroidea,Indri_indri,P,P,P,P,P,P,NA,NA,Indri
Primates,Ceboidea,Oreonax_flavicauda,G,G,G,G,G,G,NA,NA,Oreonax
Primates,Ceboidea,Lagothrix_lagotricha,G,G,G,G,G,G,NA,NA,Lagothrix
Primates,Ceboidea,Lagothrix_poeppigii,G,G,G,G,G,G,NA,NA,Lagothrix
Primates,Lemuroidea,Lemur_catta,G,G,G,G,G,G,NA,NA,Lemur
Primates,Ceboidea,Leontopithecus_caissara,P,P,P,P,P,P,NA,NA,Leontopithecus
Primates,Ceboidea,Leontopithecus_chrysopygus,P,P,P,P,P,P,NA,NA,Leontopithecus
Primates,Ceboidea,Leontopithecus_rosalia,P,P,P,P,P,P,NA,NA,Leontopithecus
Primates,Lemuroidea,Lepilemur_edwardsi,P,S,P,S,P,D-P,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_leucopus,P,S,P,S,G,D-G,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_mustelinus,S,S,S,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_ruficaudatus,P,S,P,S,P,D-P,NA,NA,Lepilemur
Primates,Cercopithecoidea,Lophocebus_albigena,G,G,G,G,G,G,NA,NA,Lophocebus
Primates,Lorisoidea,Loris_lydekkerianus,S,S,S,"S, P",NA,NA,NA,NA,Loris
Primates,Cercopithecoidea,Macaca_arctoides,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_assamensis,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_cyclopis,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_fascicularis,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_fuscata,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_leonina,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_maura,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_mulatta,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_munzala,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_nemestrina,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_nigra,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_radiata,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_siberu,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_silenus,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_sinica,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_sylvanus,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_thibetana,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Macaca_tonkeana,G,G,G,G,G,G,NA,NA,Macaca
Primates,Cercopithecoidea,Mandrillus_leucophaeus,G,G,G,G,G,G,NA,NA,Mandrillus
Primates,Cercopithecoidea,Mandrillus_sphinx,G,G,G,G,G,G,NA,NA,Mandrillus
Primates,Ceboidea,Mico_argentatus,P,P,P,P,P,P,NA,NA,Mico
Primates,Lemuroidea,Microcebus_murinus,S,G,S,"S, P",G,D-G,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_ravelobensis,S,S,S,"S, P",NA,NA,NA,NA,Microcebus
Primates,Cercopithecoidea,Miopithecus_talapoin,G,G,G,G,G,G,NA,NA,Miopithecus
Primates,Lemuroidea,Mirza_coquereli,S,S,S,S,G,D-G,NA,NA,Mirza
Primates,Cercopithecoidea,Nasalis_larvatus,G,G,G,G,G,G,NA,NA,Nasalis
Primates,Hominoidea,Nomascus_concolor,G,G,G,G,G,G,NA,NA,Nomascus
Primates,Hominoidea,Nomascus_gabriellae,P,P,P,P,P,P,NA,NA,Nomascus
Primates,Hominoidea,Nomascus_hainanus,G,G,G,G,G,G,NA,NA,Nomascus
Primates,Hominoidea,Nomascus_nasutus,G,G,G,G,G,G,NA,NA,Nomascus
Primates,Lorisoidea,Nycticebus_coucang,S,S,S,S,NA,NA,NA,NA,Nycticebus
Primates,Lorisoidea,Otolemur_crassicaudatus,S,S,S,"S, P, G",G,D-G,NA,NA,Otolemur
Primates,Lorisoidea,Otolemur_garnettii,S,S,S,S,NA,NA,NA,NA,Otolemur
Primates,Hominoidea,Pan_paniscus,G,G,G,G,G,G,NA,NA,Pan
Primates,Hominoidea,Pan_troglodytes,G,G,G,G,G,G,NA,NA,Pan
Primates,Cercopithecoidea,Papio_anubis,G,G,G,G,G,G,NA,NA,Papio
Primates,Cercopithecoidea,Papio_cynocephalus,G,G,G,G,G,G,NA,NA,Papio
Primates,Cercopithecoidea,Papio_hamadryas,G,G,G,G,G,G,NA,NA,Papio
Primates,Cercopithecoidea,Papio_papio,G,G,G,G,G,G,NA,NA,Papio
Primates,Cercopithecoidea,Papio_ursinus,G,G,G,G,G,G,NA,NA,Papio
Primates,Lorisoidea,Perodicticus_potto,S,S,S,S,NA,NA,NA,NA,Perodicticus
Primates,Lemuroidea,Phaner_furcifer,NA,P,P,NA,P,D-P,NA,NA,Phaner
Primates,Cercopithecoidea,Procolobus_badius,G,G,G,G,G,G,NA,NA,Procolobus
Primates,Cercopithecoidea,Procolobus_kirkii,G,G,G,G,G,G,NA,NA,Procolobus
Primates,Cercopithecoidea,Procolobus_rufomitratus,G,G,G,G,G,G,NA,NA,Procolobus
Primates,Ceboidea,Pithecia_aequatorialis,P,P,P,P,P,P,NA,NA,Pithecia
Primates,Ceboidea,Pithecia_chrysocephala,G,G,G,G,G,G,NA,NA,Pithecia
Primates,Ceboidea,Pithecia_irrorata,G,G,G,G,G,G,NA,NA,Pithecia
Primates,Ceboidea,Pithecia_pithecia,P,P,P,P,P,P,NA,NA,Pithecia
Primates,Ceboidea,Callicebus_discolor,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callicebus_oenanthe,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Hominoidea,Pongo_pygmaeus,S,S,S,S,S,S,NA,NA,Pongo
Primates,Cercopithecoidea,Presbytis_comata,P,P,P,P,P,P,NA,NA,Presbytis
Primates,Cercopithecoidea,Presbytis_frontata,P,P,P,P,P,P,NA,NA,Presbytis
Primates,Cercopithecoidea,Presbytis_hosei,P,P,P,P,P,P,NA,NA,Presbytis
Primates,Cercopithecoidea,Presbytis_melalophos,G,G,G,G,G,G,NA,NA,Presbytis
Primates,Cercopithecoidea,Presbytis_natunae,P,P,P,P,P,P,NA,NA,Presbytis
Primates,Cercopithecoidea,Presbytis_potenziani,P,P,P,P,P,P,NA,NA,Presbytis
Primates,Cercopithecoidea,Presbytis_rubicunda,G,G,G,G,G,G,NA,NA,Presbytis
Primates,Cercopithecoidea,Presbytis_thomasi,G,G,G,G,G,G,NA,NA,Presbytis
Primates,Cercopithecoidea,Procolobus_verus,G,G,G,G,G,G,NA,NA,Procolobus
Primates,Lemuroidea,Prolemur_simus,G,G,G,G,G,G,NA,NA,Prolemur
Primates,Lemuroidea,Propithecus_edwardsi,G,G,G,G,G,G,NA,NA,Propithecus
Primates,Lemuroidea,Propithecus_perrieri,G,G,G,G,G,G,NA,NA,Propithecus
Primates,Lemuroidea,Propithecus_verreauxi,G,G,G,G,G,G,NA,NA,Propithecus
Primates,Cercopithecoidea,Pygathrix_nemaeus,G,G,G,G,G,G,NA,NA,Pygathrix
Primates,Cercopithecoidea,Pygathrix_nigripes,G,G,G,G,G,G,NA,NA,Pygathrix
Primates,Cercopithecoidea,Rhinopithecus_avunculus,G,G,G,G,G,G,NA,NA,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_bieti,G,G,G,G,G,G,NA,NA,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_brelichi,G,G,G,G,G,G,NA,NA,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_roxellana,G,G,G,G,G,G,NA,NA,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_strykeri,G,G,G,G,G,G,NA,NA,Rhinopithecus
Primates,Cercopithecoidea,Rungwecebus_kipunji,G,G,G,G,G,G,NA,NA,Rungwecebus
Primates,Ceboidea,Leontocebus_nigricollis,G,G,G,G,G,G,NA,NA,Leontocebus
Primates,Ceboidea,Saguinus_imperator,G,G,G,G,G,G,NA,NA,Saguinus
Primates,Ceboidea,Saguinus_labiatus,G,G,G,G,G,G,NA,NA,Saguinus
Primates,Ceboidea,Saguinus_mystax,G,G,G,G,G,G,NA,NA,Saguinus
Primates,Ceboidea,Leontocebus_nigricollis,P,P,P,P,P,P,NA,NA,Leontocebus
Primates,Ceboidea,Saguinus_oedipus,G,G,G,G,G,G,NA,NA,Saguinus
Primates,Ceboidea,Saimiri_sciureus,G,G,G,G,G,G,NA,NA,Saimiri
Primates,Ceboidea,Sapajus_apella,G,G,G,G,G,G,NA,NA,Sapajus
Primates,Ceboidea,Sapajus_cay,G,G,G,G,G,G,NA,NA,Sapajus
Primates,Ceboidea,Sapajus_flavius,G,G,G,G,G,G,NA,NA,Sapajus
Primates,Ceboidea,Sapajus_libidinosus,G,G,G,G,G,G,NA,NA,Sapajus
Primates,Ceboidea,Sapajus_nigritus,G,G,G,G,G,G,NA,NA,Sapajus
Primates,Cercopithecoidea,Semnopithecus_ajax,G,G,G,G,G,G,NA,NA,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_entellus,G,G,G,G,G,G,NA,NA,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_hypoleucos,G,G,G,G,G,G,NA,NA,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_schistaceus,G,G,G,G,G,G,NA,NA,Semnopithecus
Primates,Cercopithecoidea,Simias_concolor,G,G,G,G,G,G,NA,NA,Simias
Primates,Hominoidea,Symphalangus_syndactylus,P,P,P,P,P,P,NA,NA,Symphalangus
