dataset,phylo,name,value,outgroup,prop,ypos
"Müller & Thalmann (2000)
3 state (large)","Kuderna et al (2023)
+ outgroup",P,0.03690592648899233,outgroup,0.03690592648899233,0.018459961229374575
"Müller & Thalmann (2000)
3 state (large)","Kuderna et al (2023)
+ outgroup",G,0.9630870755261292,outgroup,0.9630870755261292,0.5184564622369353
"Müller & Thalmann (2000)
3 state","Kuderna et al (2023)
+ outgroup",S,6.997984878410975e-6,outgroup,6.997984878410975e-6,3.4989924392054873e-6
"Müller & Thalmann (2000)
3 state","Kuderna et al (2023)
+ outgroup",P,0.03690592648899233,outgroup,0.03690592648899233,0.018459961229374575
"Müller & Thalmann (2000)
3 state","Kuderna et al (2023)
+ outgroup",G,0.9630870755261292,outgroup,0.9630870755261292,0.5184564622369353
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ outgroup",P,0.3288650607801003,outgroup,0.3288650607801003,0.16443253039005015
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ outgroup",G,0.6576174673841045,outgroup,0.6576174673841045,0.6576737944721527
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ outgroup",D-P,5.033008307127814e-4,outgroup,5.033008307127814e-4,0.9867341785795614
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ outgroup",D-G,0.01301417100508248,outgroup,0.01301417100508248,0.993492914497459
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ outgroup",P,0.3288650607801003,outgroup,0.3288650607801003,0.16443253039005015
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ outgroup",G,0.6576174673841045,outgroup,0.6576174673841045,0.6576737944721527
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ outgroup",D-P,5.033008307127814e-4,outgroup,5.033008307127814e-4,0.9867341785795614
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ outgroup",D-G,0.01301417100508248,outgroup,0.01301417100508248,0.993492914497459
"Olivier et al (2024)
3 state","Kuderna et al (2023)
+ outgroup",S,0.04027676480041534,outgroup,0.04027676480041534,0.02013838240020767
"Olivier et al (2024)
3 state","Kuderna et al (2023)
+ outgroup",P,0.4975911313459857,outgroup,0.4975911313459857,0.2890723304734082
