Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style
Cercopithecus,Cercopithecus_erythrogaster,White-throated Monkey,Cercopithecoidea,none,MFF,1,MFF,groups
Cercopithecus,Cercopithecus_campbelli,Lowe's Monkey,Cercopithecoidea,none,MFF,1,MFF,groups
Cercopithecus,Cercopithecus_mitis,Blue Monkey,Cercopithecoidea,both,MFF,0.866666667,MFF,groups
Cercopithecus,Cercopithecus_mona,Mona Monkey,Cercopithecoidea,wp,MFF,0.8,MFF,groups
Cercopithecus,Cercopithecus_neglectus,De Brazza's' Monkey,Cercopithecoidea,both,MF,0.454545455,MF,groups
Cercopithecus,Cercopithecus_nictitans,Greater spot-nosed Monkey,Cercopithecoidea,none,MFF,1,MFF,groups
Cercopithecus,Cercopithecus_petaurista,Lesser spot-nosed Monkey,Cercopithecoidea,wp,MFF,0.75,MFF,groups
Cercopithecus,Cercopithecus_diana,Roloway Monkey,Cercopithecoidea,wp,FFMM,1,FFMM,groups
Cheirogaleus,Cheirogaleus_major,Greater Dwarf Lemur,Lemuroidea,none,MF,1,MF,groups
Cheirogaleus,Cheirogaleus_medius,Fat Tailed Dwarf Lemur,Lemuroidea,wp,MF,0.714285714,MF,solitary
Callicebus,Callicebus_lugens,White-chested Titi Monkey,Ceboidea,none,MF,0.333333333,FMM,groups
Callicebus,Callicebus_torquatus,White-collared Titi Monkey,Ceboidea,none,MF,1,MF,groups
Chiropotes,Chiropotes_satanas,Black Saki,Ceboidea,none,FFMM,0.666666667,FFMM,groups
Chlorocebus,Chlorocebus_aethiops,Grivet Monkey,Cercopithecoidea,both,FFMM,0.875,FFMM,groups
Chlorocebus,Chlorocebus_pygerythrus,Vervet Monkey,Cercopithecoidea,none,FFMM,1,FFMM,groups
Colobus,Colobus_angolensis,Black-and-White Angolian Colobus,Cercopithecoidea,both,MFF,0.5,MFF,groups
Colobus,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,Cercopithecoidea,both,MFF,0.59375,MFF,groups
Colobus,Colobus_polykomos,King Colobus,Cercopithecoidea,wp,MFF,0.5,FFMM,groups
Colobus,Colobus_satanas,Black Colobus,Cercopithecoidea,wp,FFMM,0.833333333,FFMM,groups
Colobus,Colobus_vellerosus,Ursine Colobus / Geoffroy’s pied colobus,Cercopithecoidea,wp,FFMM,0.6,FFMM,groups
Daubentonia,Daubentonia_madagascariensis,Aye-Aye,Lemuroidea,wp,solitary,0.5,MF,solitary_groups
Erythrocebus,Erythrocebus_patas,Patas Monkey,Cercopithecoidea,both,MFF,0.666666667,MFF,groups
Eulemur,Eulemur_collaris,Red-collared Brown Lemur,Lemuroidea,wp,FFMM,0.714285714,FFMM,groups
Eulemur,Eulemur_flavifrons,Blue-eyed Black Lemur,Lemuroidea,none,FFMM,1,FFMM,groups
Eulemur,Eulemur_fulvus,Brown Lemur,Lemuroidea,none,FFMM,1,FFMM,groups
Eulemur,Eulemur_macaco,Black Lemur,Lemuroidea,wp,FFMM,0.8,FFMM,groups
Eulemur,Eulemur_mongoz,Mongoose Lemur,Lemuroidea,none,MF,1,MF,groups
Eulemur,Eulemur_rubriventer,Red-bellied Lemur,Lemuroidea,wp,MF,0.829787234,MF,groups
Eulemur,Eulemur_rufifrons,Red-fronted Brown Lemur,Lemuroidea,none,FFMM,1,FFMM,groups
Eulemur,Eulemur_rufus,Rufous Brown Lemur,Lemuroidea,none,FFMM,0.9375,FFMM,groups
Galagoides,Galagoides_zanzibaricus,Kenya Coast Dwarf Galago,Lorisoidea,wp,MF,0.444444444,MFF,solitary
Gorilla,Gorilla_beringei,Mountain Gorilla,Hominoidea,both,FFMM,0.6875,FFMM,groups
Gorilla,Gorilla_gorilla,Western Lowland Gorilla,Hominoidea,both,MFF,0.663043478,MFF,groups
Hapalemur,Hapalemur_alaotrensis,Lac Alaotra Gentle Lemur,Lemuroidea,wp,MF,0.4782608,MF,groups
