updated_name,superfamily
Rungwecebus_kipunji,Cercopithecoidea
Leontocebus_nigricollis,Ceboidea
Saguinus_imperator,Ceboidea
Saguinus_labiatus,Ceboidea
Saguinus_mystax,Ceboidea
Saguinus_oedipus,Ceboidea
Saimiri_sciureus,Ceboidea
Sapajus_apella,Ceboidea
Sapajus_cay,Ceboidea
Sapajus_flavius,Ceboidea
Semnopithecus_ajax,Cercopithecoidea
Semnopithecus_entellus,Cercopithecoidea
Semnopithecus_hypoleucos,Cercopithecoidea
Semnopithecus_schistaceus,Cercopithecoidea
Simias_concolor,Cercopithecoidea
Symphalangus_syndactylus,Hominoidea
Tarsius_bancanus,Tarsioidea
Tarsius_lariang,Tarsioidea
Tarsius_pumilus,Tarsioidea
Tarsius_sangirensis,Tarsioidea
Tarsius_syrichta,Tarsioidea
Tarsius_tarsier,Tarsioidea
Theropithecus_gelada,Cercopithecoidea
Trachypithecus_auratus,Cercopithecoidea
Trachypithecus_cristatus,Cercopithecoidea
Trachypithecus_francoisi,Cercopithecoidea
Trachypithecus_geei,Cercopithecoidea
Trachypithecus_germaini,Cercopithecoidea
Trachypithecus_johnii,Cercopithecoidea
Trachypithecus_obscurus,Cercopithecoidea
Trachypithecus_phayrei,Cercopithecoidea
Trachypithecus_pileatus,Cercopithecoidea
Trachypithecus_poliocephalus,Cercopithecoidea
Trachypithecus_shortridgei,Cercopithecoidea
Trachypithecus_vetulus,Cercopithecoidea
Varecia_variegata,Lemuroidea
Cercopithecus_preussi,Cercopithecoidea
Ateles_chamek,Ceboidea
Ateles_hybridus,Ceboidea
Ateles_marginatus,Ceboidea
Avahi_meridionalis,Lemuroidea
Callicebus_nigrifrons,Ceboidea
Cercocebus_atys,Cercopithecoidea
Eulemur_collaris,Lemuroidea
Eulemur_flavifrons,Lemuroidea
Eulemur_rufifrons,Lemuroidea
Eulemur_rufus,Lemuroidea
Hapalemur_alaotrensis,Lemuroidea
Hapalemur_meridionalis,Lemuroidea
Hoolock_leuconedys,Hominoidea
Hylobates_albibarbis,Hominoidea
Macaca_siberu,Cercopithecoidea
Nomascus_hainanus,Hominoidea
Propithecus_perrieri,Lemuroidea
Rhinopithecus_strykeri,Cercopithecoidea
Sapajus_libidinosus,Ceboidea
Sapajus_nigritus,Ceboidea
