sp.pop,Genus_species,Genus,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Rowe,mean_Female_Rowe,mean_other_Rowe,sd_Male_Rowe,sd_Female_Rowe,sd_other_Rowe,mean_Fruits_rowe,mean_Seeds_rowe,mean_Leaves_rowe,mean_Flowers_rowe,mean_Animal_rowe,sd_Fruits_rowe,sd_Seeds_rowe,sd_Leaves_rowe,sd_Flowers_rowe,sd_Animals_rowe
sp,Allenopithecus_nigroviridis,Allenopithecus,Allens Swamp Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Allocebus_trichotis,Allocebus,Hairy-eared Dwarf Lemur, ,Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , ,1,1, ,none,FFMM,1,solitary,one,none,AR,0.083,0.078,0.081, , , ,14, , ,14,51.75, , , , ,15.2027958
pop,Allocebus_trichotis,Allocebus,Hairy-eared Dwarf Lemur,"Analamazaotra Special Reserve, Central Eastern Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,solitary,one,none,AR,0.083,0.078,0.081, , , ,14, , ,14,51.75, , , , ,15.2027958
sp,Allochrocebus_lhoesti,Allochrocebus,L'hoest's Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
pop,Allochrocebus_preussi,Allochrocebus,L'hoest's Monkey,"Mount Kilum, Cameroun",Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,one,one,none,T,7.175,3.6, ,0.247487373, , ,51.9, ,1.6,1.2,0.2, , , , , 
sp,Allochrocebus_preussi,Allochrocebus,Preuss's Monkey, ,Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , ,1,2, ,wp,MFF_FFMM,0.5,one,one,none,T,7.175,3.6, ,0.247487373, , ,51.9, ,1.6,1.2,0.2, , , , , 
sp,Allochrocebus_solatus,Allochrocebus,Sun-tailed Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_arctoidea,Alouatta,Ursine Red Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_belzebul,Alouatta,Red-Handed Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey, ,Forest_Wetland_Grassland,1,1,both,3,Diurnal, ,1, , , ,5, ,45,2,46, , , , , , ,11,98, ,both,FFMM,0.469387755,groups,one,yes,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"Beco Xavier Tupancireta, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"Establecimiento Nossa Senora da Conceicao, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"Estancia Casa Branca, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"Isla Brasilera, Argentina",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , ,7, ,21, , , , , , , ,28,5,wp,FFMM,0.75,groups,one,yes,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"Protected area of upper Panama river, Brazil",Forest_Wetland_Grassland,1,1,both,3,Diurnal, , , , , , , ,2, ,9, , , , , , , ,11,1,wp,FFMM,0.818181818,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"San cayetano Corrientese, Argentina",Forest_Grassland,1,1,both,2,Diurnal, ,1, , , , , ,32, ,8, , , , , , , ,40,2,wp,MFF,0.8,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,2, ,1,1,3, , , , , , , ,7,1,wp,FFMM,0.428571429,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Alouatta,Paranguyan Howler Monkey,"Tocantins River, Brazil",Forest_Wetland,0,1,closed,2,Diurnal, , , , , ,2, ,1,1,4, , , , , , , ,8,1,wp,FFMM,0.5,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
sp,Alouatta_coibensis,Alouatta,Coiba Island Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_discolor,Alouatta,Spix's Howler Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , ,1,1, ,none,MFF,1,groups,one,none,AR,7.25,5.5,6.37, , , ,55.6, ,24.8,5.7, , , , , , 
pop,Alouatta_discolor,Alouatta,Spix's Howler Monkey,"Teles Pires River, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,7.25,5.5,6.37, , , ,55.6, ,24.8,5.7, , , , , , 
sp,Alouatta_guariba,Alouatta,Brown Howler Monkey, , ,0,0,,2,Diurnal,1, , ,3, ,2, ,12, ,4, , , , , , ,6,18, ,wp,MFF,0.666666667,groups,ff,yes,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Alouatta,Brown Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Alouatta,Brown Howler Monkey,"Campo de instrucao de santa maria, Brazil",Forest_Grassland,1,1,both,2,Diurnal, , , , , , , ,3, , , , , , , , , ,3,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Alouatta,Brown Howler Monkey,"Moro Geisler, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, ,2, , , , , , , , , ,3,1,wp,MFF,0.666666667,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Alouatta,Brown Howler Monkey,"Chacara payquere do Bugre, Brazil",Forest,0,1,closed,1,Diurnal,1, , ,3, ,1, ,4, ,4, , , , , , , ,9,1,wp,MFF_FFMM,0.444444444,groups,ff,yes,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Alouatta,Brown Howler Monkey,Parque Sao Paulo Village,Forest_Artificial,0,1,closed,2,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Alouatta,Brown Howler Monkey,"Porto Allegre, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
sp,Alouatta_macconnelli,Alouatta,Guianan Red Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_nigerrima,Alouatta,Amazon Black Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_palliata,Alouatta,Mantled Howler Monkey, , ,0,0,,2,Diurnal,13, , , , , , ,9,2,45, , , , , , ,19,56, ,both,FFMM,0.813559322,groups,one,none,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Alouatta,Mantled Howler Monkey,"Los Tuxlas, Mexico",Forest_Artificial,0,1,closed,2,Diurnal,13, , , , , , ,2,1,14, , , , , , , ,17,5,wp,FFMM,0.823529412,groups,one,none,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Alouatta,Mantled Howler Monkey,"Isla de Ometepe, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Alouatta,Mantled Howler Monkey,"Hacienda la pacifica, Costa Rica",Forest_Artificial,0,1,closed,2,Diurnal, , , , , , , , , ,8, , , , , , , ,8,7,none,FFMM,1,groups,one,yes,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Alouatta,Mantled Howler Monkey,Agaltepec island,Forest_Grassland,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Alouatta,Mantled Howler Monkey,"Macuspana, Tabasco",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,5, , , , , , , ,5,2,none,FFMM,1,groups,one,none,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Alouatta,Mantled Howler Monkey,"Barro Colorado Island, Panama",Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,8, , , , , , , ,10,2,wp,FFMM,0.8,groups,one,none,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Alouatta,Mantled Howler Monkey,"Tabasco y Dolores, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,5,1,7, , , , , , , ,13,1,wp,FFMM,0.538461538,groups,one,none,AR,6.1365,5.1025, ,0.160513239,0.350017857, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
sp,Alouatta_pigra,Alouatta,Central American Black Howler Monkey, ,Forest_Shrubland_Artificial,1,1,both,2,Diurnal,8, , , , ,6, ,36,6,39, , , , , , ,9,87, ,both,FFMM,0.448275862,groups, ,none,AR,6.62625,4.947, ,0.107833784,0.202232539, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Alouatta,Central American Black Howler Monkey,"Palenque National Park, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,4,3,10, , , , , , , ,17,3,wp,FFMM,0.588235294,groups,one,none,AR,6.62625,4.947, ,0.107833784,0.202232539, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Alouatta,Central American Black Howler Monkey,"Muscapana Tabasco, Mexico",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,6.62625,4.947, ,0.107833784,0.202232539, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Alouatta,Central American Black Howler Monkey,"Muscapana area, private catle, Mexico",Artificial_Shrubland,1,0,open,2,Diurnal, , , , , , , ,2, , , , , , , , , ,2,1,none,MFF,1,groups,one,none,AR,6.62625,4.947, ,0.107833784,0.202232539, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Alouatta,Central American Black Howler Monkey,"Mexican state of Campeche, Mexico",Forest_Artificial,0,1,closed,2,Diurnal, , , , , ,1, ,6,1,11, , , , , , , ,19,2,wp,FFMM,0.578947368,groups,one,none,AR,6.62625,4.947, ,0.107833784,0.202232539, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Alouatta,Central American Black Howler Monkey,"Leona Vicario, Mexico",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,6.62625,4.947, ,0.107833784,0.202232539, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Alouatta,Central American Black Howler Monkey,"Comunity Baboon Sanctuary and CBWS, Belize",Artificial,0,0,,1,Diurnal,8, , , , ,5, ,24,2,15, , , , , , , ,46,1,wp,MFF,0.52173913,groups,one,none,AR,6.62625,4.947, ,0.107833784,0.202232539, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
sp,Alouatta_sara,Alouatta,Bolivian Red Howler Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , ,5, ,11, ,11, , , , , , ,1,27, ,wp,MFF_FFMM,0.407407407,groups,one,none,AR, , ,6, , , , , , , , , , , , , 
pop,Alouatta_sara,Alouatta,Bolivian Red Howler Monkey,"Santa Rosa del Sara y Buena Vista, Bolivia",Forest,0,1,closed,1,Diurnal, , , , , ,5, ,11, ,11, , , , , , , ,27,1,wp,MFF_FFMM,0.407407407,groups,one,none,AR, , ,6, , , , , , , , , , , , , 
sp,Alouatta_seniculus,Alouatta,Colombian Red Howler Monkey, , ,0,0,,2,Diurnal, , , , , ,1, ,1, ,17, , , , , , ,5,19, ,both,FFMM,0.894736842,groups,one,none,AR,7.58925,6.0205, ,1.812496138,1.706339064, ,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Alouatta,Colombian Red Howler Monkey,"La Montana de Ocaso, Colombian Andes",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,9, , , , , , , ,9,1,none,FFMM,1,groups,one,none,AR,7.58925,6.0205, ,1.812496138,1.706339064, ,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Alouatta,Colombian Red Howler Monkey,"Hato Masaguaral, Venezuela",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,3, , , , , , , ,4,2,wp,FFMM,0.75,groups,one,none,AR,7.58925,6.0205, ,1.812496138,1.706339064, ,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Alouatta,Colombian Red Howler Monkey,"El Frio, Venezuela",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,5, , , , , , , ,5,1,none,FFMM,1,groups,one,none,AR,7.58925,6.0205, ,1.812496138,1.706339064, ,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Alouatta,Colombian Red Howler Monkey,Petit Saut Electric Dam,Artificial_Forest,0,1,closed,2,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,7.58925,6.0205, ,1.812496138,1.706339064, ,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
sp,Alouatta_ululata,Alouatta,Maranhão Red-handed Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_azarae,Aotus,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,, ,Cathemeral, , , , , ,18, , , , , , , , , , ,1,18,1,none,MF,1, ,one,none, , , , , , , , , , , , , , , , , 
pop,Aotus_azarae,Aotus,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,, ,Cathemeral, , , , , ,18, , , , , , , , , , ,0,18,1,none,MF,1, ,one,none, , , , , , , , , , , , , , , , , 
sp,Aotus_brumbacki,Aotus,Brumback's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_griseimembra,Aotus,Gray-legged Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_hershkovitzi,Aotus,Gray-bellied Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_jorgehernandezi,Aotus,Hernandez-Camacho's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_lemurinus,Aotus,Lemurine Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_miconax,Aotus,Andean Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_nancymaae,Aotus,Ma's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_nigriceps,Aotus,Black-headed Night Monkey, , ,0,0,,1,Nocturnal, , , , , ,1, , , , , , , , , , ,1,1, ,none,MF,1,groups,one,none,AR,0.875,1.04, , , , ,60, , , , , , , , , 
pop,Aotus_nigriceps,Aotus,Black-headed Night Monkey,"Manu Learning Centre, Peru",Forest,0,1,closed,1,Nocturnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,0.875,1.04, , , , ,60, , , , , , , , , 
sp,Aotus_trivirgatus,Aotus,Humboldt's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_vociferans,Aotus,Spix's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_zonalis,Aotus,Panamanian Night Monkey, ,Forest,0,1,closed,1,Nocturnal, , , , , ,16, , , , , , , , , , ,1,16, ,none,MF,1,groups,one,none,AR,0.889,0.916, , , , , , , , , , , , , , 
pop,Aotus_zonalis,Aotus,Panamanian Night Monkey,"Campo Chagres, Panama",Forest,0,1,closed,1,Nocturnal, , , , , ,12, , , , , , , , , , , ,12,1,none,MF,1,groups,one,none,AR,0.889,0.916, , , , , , , , , , , , , , 
pop,Aotus_zonalis,Aotus,Panamanian Night Monkey,"Cerro Azul, Panama",Forest,0,1,closed,1,Nocturnal, , , , , ,4, , , , , , , , , , , ,4,1,none,MF,1,groups,one,none,AR,0.889,0.916, , , , , , , , , , , , , , 
sp,Arctocebus_aureus,Arctocebus,Golden Angwantibo, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Arctocebus_calabarensis,Arctocebus,Calabar Angwantibo, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Ateles_belzebuth,Ateles,White-bellied Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , , , ,9, , , , , , ,5,9, ,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
pop,Ateles_belzebuth,Ateles,White-bellied Spider Monkey,"La Macarena, Columbia",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,3, , , , , , , ,3,3,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
pop,Ateles_belzebuth,Ateles,White-bellied Spider Monkey,"Manu National Park, Peru",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,4, , , , , , , ,4,1,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
pop,Ateles_belzebuth,Ateles,White-bellied Spider Monkey,"Yasuni National Park, Ecuador",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
sp,Ateles_chamek,Ateles,Black Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , , , ,3, , , , , , ,2,3, ,none,FFMM,1,groups,ff,none,AR,7,5, , , , ,80.25, ,13.1,3.7, ,7.848885271, ,3.39411255,1.13137085, 
pop,Ateles_chamek,Ateles,Black Spider Monkey,"Lago Caiman, Bolivia",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,ff,none,AR,7,5, , , , ,80.25, ,13.1,3.7, ,7.848885271, ,3.39411255,1.13137085, 
pop,Ateles_chamek,Ateles,Black Spider Monkey,"Manu National Park, Peru",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,7,5, , , , ,80.25, ,13.1,3.7, ,7.848885271, ,3.39411255,1.13137085, 
sp,Ateles_fusciceps,Ateles,Brown-headed Spider Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Ateles_geoffroyi,Ateles,Central American Spider Monkey, ,Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , ,3, ,23, , , , , , ,15,26, ,both,FFMM,0.884615385,groups,ff,none,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Ateles,Central American Spider Monkey,"Barro Colorado Island, Panama",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,one,none,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Ateles,Central American Spider Monkey,"Parque de Fauna y Floral Silvestre Tropica,l Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Ateles,Central American Spider Monkey,"Punta Laguna Lake, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,12, , , , , , , ,13,5,none,FFMM,0.923076923,groups,ff,yes,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Ateles,Central American Spider Monkey,Runaway Creek Natural Reserve Belize,Wetland_Forest_Grassland,1,1,both,3,Diurnal, , , , , , , , , ,3, , , , , , , ,3,3,none,FFMM,1,groups,one,none,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Ateles,Central American Spider Monkey,"Santa Rosa, Costa Rica",Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,ff,none,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Ateles,Central American Spider Monkey,Tikal National Park Panama,Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,2, , , , , , , ,4,1,wp,MFF_FFMM,0.5,groups,one,none,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Ateles,Central American Spider Monkey,"Yakatan, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,8.14125,7.2675,7.704,0.253849529,0.460864044, ,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
sp,Ateles_hybridus,Ateles,Variegated Spider Monkey, ,Forest_Artificial_Grassland_Wetland_Savanna,1,1,both,5,Diurnal, , , , , , , ,1, ,3, , , , , , ,3,4, ,wp,FFMM,0.75,groups,one,none,AR,8.25,9, , , , ,94, ,5,1, , , , , , 
pop,Ateles_hybridus,Ateles,Variegated Spider Monkey,"Hacienda San Juan del Carare, Colombia",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,2, , , , , , , ,3,2,none,FFMM,0.666666667,groups,one,none,AR,8.25,9, , , , ,94, ,5,1, , , , , , 
