sp.pop,Genus_species,Genus,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Rowe,mean_Female_Rowe,mean_other_Rowe,sd_Male_Rowe,sd_Female_Rowe,sd_other_Rowe,mean_Fruits_rowe,mean_Seeds_rowe,mean_Leaves_rowe,mean_Flowers_rowe,mean_Animal_rowe,sd_Fruits_rowe,sd_Seeds_rowe,sd_Leaves_rowe,sd_Flowers_rowe,sd_Animals_rowe
sp,Nomascus_gabriellae,Nomascus,Southern Yellow-Cheeked Crested Gibbon, ,Forest,0,1,closed,1,Diurnal, , , , , ,15,2,2, , , , , , , , ,2,19, ,wp,MF,0.789473684,groups,one,none,AR, ,5.233, , , , ,30.31, ,57.52,12.17, , , , , , 
pop,Nomascus_gabriellae,Nomascus,Southern Yellow-Cheeked Crested Gibbon,"Cat Tien national Park, Vietnam",Forest,0,1,closed,1,Diurnal, , , , , ,15,2,2, , , , , , , , , ,19,2,wp,MF,0.789473684,groups,one,none,AR, ,5.233, , , , ,30.31, ,57.52,12.17, , , , , , 
sp,Nomascus_hainanus,Nomascus,Hainan Crested-Gibbon, ,Forest,0,1,closed,1,Diurnal,6, , , , ,2, ,7, , , , , , , , ,3,9, ,wp,MFF,0.777777778,groups,one,yes,AR,6.61,6.56333, , , , ,81.5, ,12,4,4, , , , , 
pop,Nomascus_hainanus,Nomascus,Hainan Crested-Gibbon,"Bawangling National Nature Reserve, China",Forest,0,1,closed,1,Diurnal,6, , , , ,2, ,7, , , , , , , , , ,9,3,wp,MFF,0.777777778,groups,one,yes,AR,6.61,6.56333, , , , ,81.5, ,12,4,4, , , , , 
sp,Nomascus_leucogenys,Nomascus,Northern White-Cheeked Crested Gibbon, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Nomascus_nasutus,Nomascus,Eastern Black Crested Gibbon/Cao Vit Gibbon, ,Forest,0,1,closed,1,Diurnal, , , , , ,1, ,4, , , , , , , , ,1,5, ,wp,MFF,0.8,groups, ,none,AR, , , , , , ,86.6, ,4.7, ,0.5, , , , , 
pop,Nomascus_nasutus,Nomascus,Eastern Black Crested Gibbon/Cao Vit Gibbon,"Bangliang Nature Reserve, Guangxi, China",Forest,0,1,closed,1,Diurnal, , , , , ,1, ,4, , , , , , , , , ,5,1,wp,MFF,0.8,groups,one,none,AR, , , , , , ,86.6, ,4.7, ,0.5, , , , , 
sp,Nomascus_siki,Nomascus,Southern White-Cheeked Crested Gibbon, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Nycticebus_bengalensis,Nycticebus,Sody's Slow Loris, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Nycticebus_coucang,Nycticebus,Sunda Slow Loris, ,Forest,0,1,closed,1,Nocturnal, , ,5,5,5,4, , , , ,1, , , , , ,1,9, ,wp,solitary,0.555555556,solitary,one,none,AR,0.737,0.637,0.6886, , , ,22.5, , , ,2.5, , , , , 
pop,Nycticebus_coucang,Nycticebus,Sunda Slow Loris,"Perak, Malaysia",Forest,0,1,closed,1,Nocturnal, , ,5,5,5,4, , , , ,1, , , , , , ,9,1,wp,solitary,0.555555556,solitary,one,none,AR,0.737,0.637,0.6886, , , ,22.5, , , ,2.5, , , , , 
sp,Nycticebus_javanicus,Nycticebus,Javan Slow Loris, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Nycticebus_menagensis,Nycticebus,Philippine Slow Loris, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Nycticebus_pygmaeus,Nycticebus,Pygmy Slow Loris, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Otolemur_crassicaudatus,Otolemur,Brown Greater Galago, , ,0,0,,1,Nocturnal, , ,10,6,6, , , , , , , , , , , ,1,6, ,none,solitary,1,solitary,one,none,AR,1.5,1.25,1.814, , , ,21, , , ,5, , , , , 
pop,Otolemur_crassicaudatus,Otolemur,Brown Greater Galago,"Northern Transvaal, South Africa",Forest,0,1,closed,1,Nocturnal, , ,10,6,6, , , , , , , , , , , , ,6,1,none,solitary,1,solitary,one,none,AR,1.5,1.25,1.814, , , ,21, , , ,5, , , , , 
sp,Otolemur_garnettii,Otolemur,Northern Greater Galago, , ,0,0,,1,Nocturnal, , ,14,11,10,2, , , , , ,1, , , , ,1,12, ,both,solitary,0.833333333,solitary_groups,one,none,AR,0.834,0.763,0.836,0.016970563,0.05939697, ,20, , , ,6, , , , , 
pop,Otolemur_garnettii,Otolemur,Northern Greater Galago,"Gedi, Kenya",Forest,0,1,closed,1,Nocturnal, , ,6,7,6, , , , , , ,1, , , , , ,6,1,none,solitary,1,solitary_groups,one,none,AR,0.834,0.763,0.836,0.016970563,0.05939697, ,20, , , ,6, , , , , 
pop,Otolemur_garnettii,Otolemur,Northern Greater Galago,"Diani, Kenya",Forest,0,1,closed,1,Nocturnal, , ,8,4,4,2, , , , , , , , , , , ,6,1,wp,solitary,0.666666667,solitary_groups,one,none,AR,0.834,0.763,0.836,0.016970563,0.05939697, ,20, , , ,6, , , , , 
sp,Otolemur_monteiri,Otolemur,Silvery Greater Galago, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
