sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_all,mean_Female_all,mean_other_all,sd_Male_all,sd_Female_all,sd_other_all,mean_Fruits_all,mean_Seeds_all,mean_Leaves_all,mean_Flowers_all,mean_Animal_all,sd_Fruits_all,sd_Seeds_all,sd_Leaves_all,sd_Flowers_all,sd_Animals_all
sp,Allenopithecus_nigroviridis,Allens Swamp Monkey, ,,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Allocebus_trichotis,Hairy-eared Dwarf Lemur, ,Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , ,1,1, ,none,FFMM,1,solitary,one,none,AR,0.0875,0.081,0.0805,0.006363961,0.004242641,0.000707107,14, , ,14,51.75, , , , ,15.2027958
pop,Allocebus_trichotis,Hairy-eared Dwarf Lemur,"Analamazaotra Special Reserve, Central Eastern Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,solitary,one,none,AR,0.0875,0.081,0.0805,0.006363961,0.004242641,0.000707107,14, , ,14,51.75, , , , ,15.2027958
sp,Allochrocebus_lhoesti,L'hoest's Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
pop,Allochrocebus_preussi,L'hoest's Monkey,"Mount Kilum, Cameroun",Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,one,one,none,T,6.35,3.25,4.525,1.439618005,0.494974747,1.025304833,51.95, ,1.6,1.2,0.2,0.070710678, , , , 
sp,Allochrocebus_preussi,Preuss's Monkey, ,Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , ,1,2, ,wp,MFF_FFMM,0.5,one,one,none,T,6.35,3.25,4.525,1.439618005,0.494974747,1.025304833,51.95, ,1.6,1.2,0.2,0.070710678, , , , 
sp,Allochrocebus_solatus,Sun-tailed Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_arctoidea,Ursine Red Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_belzebul,Red-Handed Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_caraya,Paranguyan Howler Monkey, ,Forest_Grassland_Wetland,1,1,both,3,Diurnal, ,1, , , ,5, ,45,2,46, , , , , , ,11,98, ,both,FFMM,0.469387755,groups,one,yes,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Beco Xavier Tupancireta, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Establecimiento Nossa Senora da Conceicao, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Estancia Casa Branca, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Isla Brasilera, Argentina",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , ,7, ,21, , , , , , , ,28,5,wp,FFMM,0.75,groups,one,yes,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Protected area of upper Panama river, Brazil",Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , ,2, ,9, , , , , , , ,11,1,wp,FFMM,0.818181818,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"San cayetano Corrientese, Argentina",Forest_Grassland,1,1,both,2,Diurnal, ,1, , , , , ,32, ,8, , , , , , , ,40,2,wp,MFF,0.8,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,2, ,1,1,3, , , , , , , ,7,1,wp,FFMM,0.428571429,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Tocantins River, Brazil",Forest_Wetland,0,1,closed,2,Diurnal, , , , , ,2, ,1,1,4, , , , , , , ,8,1,wp,FFMM,0.5,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
sp,Alouatta_coibensis,Coiba Island Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_discolor,Spix's Howler Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , ,1,1, ,none,MFF,1,groups,one,none,AR,7.25,5.5,6.37, , , ,55.6, ,24.8,5.7, , , , , , 
pop,Alouatta_discolor,Spix's Howler Monkey,"Teles Pires River, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,7.25,5.5,6.37, , , ,55.6, ,24.8,5.7, , , , , , 
sp,Alouatta_guariba,Brown Howler Monkey, ,Artificial_Forest_Grassland,1,1,both,2,Diurnal,1, , ,3, ,2, ,12, ,4, , , , , , ,6,18, ,wp,MFF,0.666666667,groups,ff,yes,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Brown Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Brown Howler Monkey,"Campo de instrucao de santa maria, Brazil",Forest_Grassland,1,1,both,2,Diurnal, , , , , , , ,3, , , , , , , , , ,3,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Brown Howler Monkey,"Moro Geisler, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, ,2, , , , , , , , , ,3,1,wp,MFF,0.666666667,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Brown Howler Monkey,"Chacara payquere do Bugre, Brazil",Forest,0,1,closed,1,Diurnal,, , ,3, ,1, ,4, ,4, , , , , , , ,9,1,wp,MFF_FFMM,0.444444444,groups,ff,yes,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Brown Howler Monkey,Parque Sao Paulo Village,Artificial_Forest,0,1,closed,2,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
pop,Alouatta_guariba,Brown Howler Monkey,"Porto Allegre, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.49,4.45, ,0.339411255,0.141421356, ,24.3, ,62.1,11.75, ,21.00737966, ,24.3538498,0.070710678, 
sp,Alouatta_macconnelli,Guianan Red Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_nigerrima,Amazon Black Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_palliata,Mantled Howler Monkey, ,Artificial_Forest_Grassland_Shrubland,1,1,both,2,Diurnal,13, , , , , , ,9,2,45, , , , , , ,19,56, ,both,FFMM,0.803571429,groups,one,none,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Mantled Howler Monkey,"Los Tuxlas, Mexico",Artificial_Forest,0,1,closed,2,Diurnal,13, , , , , , ,2,1,14, , , , , , , ,17,5,wp,FFMM,0.823529412,groups,one,none,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Mantled Howler Monkey,"Isla de Ometepe, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Mantled Howler Monkey,"Hacienda la pacifica, Costa Rica",Artificial_Forest,0,1,closed,2,Diurnal, , , , , , , , , ,8, , , , , , , ,8,7,none,FFMM,1,groups,one,yes,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Mantled Howler Monkey,Agaltepec island,Forest_Grassland,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Mantled Howler Monkey,"Macuspana, Tabasco",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,5, , , , , , , ,5,2,none,FFMM,1,groups,one,none,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Mantled Howler Monkey,"Barro Colorado Island, Panama",Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,8, , , , , , , ,10,2,wp,FFMM,0.8,groups,one,none,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
pop,Alouatta_palliata,Mantled Howler Monkey,"Tabasco y Dolores, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,5,1,7, , , , , , , ,13,1,wp,FFMM,0.538461538,groups,one,none,AR,6.411,5.161666667,6.12,0.488807733,0.26787746, ,25.75,5,56.8,11.6, ,18.7383297, ,9.616652224,9.333809512, 
sp,Alouatta_pigra,Central American Black Howler Monkey, ,Artificial_Forest_Shrubland,1,1,both,2,Diurnal,8, , , , ,6, ,36,6,39, , , , , , ,9,87, ,both,FFMM,0.448275862,groups, ,none,AR,6.919166667,5.167333333,6.56,0.513044426,0.407540591, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Palenque National Park, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,4,3,10, , , , , , , ,17,3,wp,FFMM,0.588235294,groups,one,none,AR,6.919166667,5.167333333,6.56,0.513044426,0.407540591, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Muscapana Tabasco, Mexico",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,6.919166667,5.167333333,6.56,0.513044426,0.407540591, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Muscapana area, private catle, Mexico",Artificial_Shrubland,1,0,open,2,Diurnal, , , , , , , ,2, , , , , , , , , ,2,1,none,MFF,1,groups,one,none,AR,6.919166667,5.167333333,6.56,0.513044426,0.407540591, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Mexican state of Campeche, Mexico",Artificial_Forest,0,1,closed,2,Diurnal, , , , , ,1, ,6,1,11, , , , , , , ,19,2,wp,FFMM,0.578947368,groups,one,none,AR,6.919166667,5.167333333,6.56,0.513044426,0.407540591, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Leona Vicario, Mexico",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,6.919166667,5.167333333,6.56,0.513044426,0.407540591, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Comunity Baboon Sanctuary and CBWS, Belize",Artificial,0,0,,1,Diurnal,8, , , , ,5, ,24,2,15, , , , , , , ,46,1,wp,MFF,0.52173913,groups,one,none,AR,6.919166667,5.167333333,6.56,0.513044426,0.407540591, ,36.506, ,46.796,6.133333333, ,5.801437753, ,20.43096865,3.971565602, 
sp,Alouatta_sara,Bolivian Red Howler Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , ,5, ,11, ,11, , , , , , ,1,27, ,wp,MFF_FFMM,0.407407407,groups,one,none,AR, , ,6.25, , ,0.353553391, , , , , , , , , , 
pop,Alouatta_sara,Bolivian Red Howler Monkey,"Santa Rosa del Sara y Buena Vista, Bolivia",Forest,0,1,closed,1,Diurnal, , , , , ,5, ,11, ,11, , , , , , , ,27,1,wp,MFF_FFMM,0.407407407,groups,one,none,AR, , ,6.25, , ,0.353553391, , , , , , , , , , 
sp,Alouatta_seniculus,Colombian Red Howler Monkey, ,Artificial_Forest,0,1,closed,2,Diurnal, , , , , ,1, ,1, ,17, , , , , , ,5,19, ,both,FFMM,0.894736842,groups,one,none,AR,7.4034,5.8524,6.01,1.623748072,1.524789428,0.127279221,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,"La Montana de Ocaso, Colombian Andes",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,9, , , , , , , ,9,1,none,FFMM,1,groups,one,none,AR,7.4034,5.8524,6.01,1.623748072,1.524789428,0.127279221,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,"Hato Masaguaral, Venezuela",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,3, , , , , , , ,4,2,wp,FFMM,0.75,groups,one,none,AR,7.4034,5.8524,6.01,1.623748072,1.524789428,0.127279221,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,"El Frio, Venezuela",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,5, , , , , , , ,5,1,none,FFMM,1,groups,one,none,AR,7.4034,5.8524,6.01,1.623748072,1.524789428,0.127279221,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,Petit Saut Electric Dam,Artificial_Forest,0,1,closed,2,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,7.4034,5.8524,6.01,1.623748072,1.524789428,0.127279221,36.775,10.56666667,50.625,3.55, ,16.5149175,14.05216472,1.291962332,1.793506807, 
sp,Alouatta_ululata,Maranhão Red-handed Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_azarae,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,, ,Cathemeral, , , , , ,18, , , , , , , , , , ,1,18,1,none,MF,1, ,one,none, , , , , , , , , , , , , , , , , 
pop,Aotus_azarae,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,, ,Cathemeral, , , , , ,18, , , , , , , , , , ,0,18,1,none,MF,1, ,one,none, , , , , , , , , , , , , , , , , 
sp,Aotus_brumbacki,Brumback's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_griseimembra,Gray-legged Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_hershkovitzi,Gray-bellied Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_jorgehernandezi,Hernandez-Camacho's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_lemurinus,Lemurine Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_miconax,Andean Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_nancymaae,Ma's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_nigriceps,Black-headed Night Monkey, ,Forest,0,1,closed,1,Nocturnal, , , , , ,1, , , , , , , , , , ,1,1, ,none,MF,1,groups,one,none,AR,0.875,1.04, , , , ,60, , , , , , , , , 
pop,Aotus_nigriceps,Black-headed Night Monkey,"Manu Learning Centre, Peru",Forest,0,1,closed,1,Nocturnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,0.875,1.04, , , , ,60, , , , , , , , , 
sp,Aotus_trivirgatus,Humboldt's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_vociferans,Spix's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_zonalis,Panamanian Night Monkey, ,Forest,0,1,closed,1,Nocturnal, , , , , ,16, , , , , , , , , , ,1,16, ,none,MF,1,groups,one,none,AR,0.889,0.916, , , , ,65, ,30, ,5, , , , , 
pop,Aotus_zonalis,Panamanian Night Monkey,"Campo Chagres, Panama",Forest,0,1,closed,1,Nocturnal, , , , , ,12, , , , , , , , , , , ,12,1,none,MF,1,groups,one,none,AR,0.889,0.916, , , , ,65, ,30, ,5, , , , , 
pop,Aotus_zonalis,Panamanian Night Monkey,"Cerro Azul, Panama",Forest,0,1,closed,1,Nocturnal, , , , , ,4, , , , , , , , , , , ,4,1,none,MF,1,groups,one,none,AR,0.889,0.916, , , , ,65, ,30, ,5, , , , , 
sp,Arctocebus_aureus,Golden Angwantibo, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Arctocebus_calabarensis,Calabar Angwantibo, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Ateles_belzebuth,White-bellied Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , , , ,9, , , , , , ,5,9, ,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
pop,Ateles_belzebuth,White-bellied Spider Monkey,"La Macarena, Columbia",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,3, , , , , , , ,3,3,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
pop,Ateles_belzebuth,White-bellied Spider Monkey,"Manu National Park, Peru",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,4, , , , , , , ,4,1,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
pop,Ateles_belzebuth,White-bellied Spider Monkey,"Yasuni National Park, Ecuador",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups, ,none,AR,8.396,7.996, ,0.192333044,0.164048773, ,84.4, ,7.666666667,1.15, ,6.710439628, ,0.65064071,0.212132034, 
sp,Ateles_chamek,Black Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , , , ,3, , , , , , ,2,3, ,none,FFMM,1,groups,ff,none,AR,8.205,7.165,9.37,1.704127343,3.061772363, ,80.25, ,13.1,3.7, ,7.848885271, ,3.39411255,1.13137085, 
pop,Ateles_chamek,Black Spider Monkey,"Lago Caiman, Bolivia",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,ff,none,AR,8.205,7.165,9.37,1.704127343,3.061772363, ,80.25, ,13.1,3.7, ,7.848885271, ,3.39411255,1.13137085, 
pop,Ateles_chamek,Black Spider Monkey,"Manu National Park, Peru",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,8.205,7.165,9.37,1.704127343,3.061772363, ,80.25, ,13.1,3.7, ,7.848885271, ,3.39411255,1.13137085, 
sp,Ateles_fusciceps,Brown-headed Spider Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Ateles_geoffroyi,Central American Spider Monkey, ,Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , ,3, ,23, , , , , , ,15,26, ,both,FFMM,0.884615385,groups,ff,none,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Central American Spider Monkey,"Barro Colorado Island, Panama",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,one,none,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Central American Spider Monkey,"Parque de Fauna y Floral Silvestre Tropica,l Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Central American Spider Monkey,"Punta Laguna Lake, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,12, , , , , , , ,13,5,none,FFMM,0.923076923,groups,ff,yes,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Central American Spider Monkey,Runaway Creek Natural Reserve Belize,Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , , , ,3, , , , , , , ,3,3,none,FFMM,1,groups,one,none,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Central American Spider Monkey,"Santa Rosa, Costa Rica",Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,ff,none,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Central American Spider Monkey,Tikal National Park Panama,Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,2, , , , , , , ,4,1,wp,MFF_FFMM,0.5,groups,one,none,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
pop,Ateles_geoffroyi,Central American Spider Monkey,"Yakatan, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,8.003,7.342,7.622,0.379334944,0.432490462,0.115965512,67.084, ,15.404,10.876,2,10.52792857, ,4.159697104,9.638769631,0.141421356
sp,Ateles_hybridus,Variegated Spider Monkey, ,Artificial_Forest_Grassland_Savanna_Wetland,1,1,both,5,Diurnal, , , , , , , ,1, ,3, , , , , , ,3,4, ,wp,FFMM,0.75,groups,one,none,AR,8.25,9, , , , ,94, ,5,1, ,0, ,0,0, 
pop,Ateles_hybridus,Variegated Spider Monkey,"Hacienda San Juan del Carare, Colombia",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,2, , , , , , , ,3,2,none,FFMM,0.666666667,groups,one,none,AR,8.25,9, , , , ,94, ,5,1, ,0, ,0,0, 
pop,Ateles_hybridus,Variegated Spider Monkey,"Hacienda El Pajuil, Colombia",Artificial_Forest_Grassland_Savanna_Wetland,1,1,both,5,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,wp,FFMM,1,groups,ff,none,AR,8.25,9, , , , ,94, ,5,1, ,0, ,0,0, 
sp,Ateles_marginatus,White-Whiskered Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , ,1, ,1, ,3, , , , , , ,1,5, ,wp,FFMM,0.6,groups,one,none,AR,10.4,5.824,5.82, , , , , , , , , , , , , 
