sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_all,mean_Female_all,mean_other_all,sd_Male_all,sd_Female_all,sd_other_all,mean_Fruits_all,mean_Seeds_all,mean_Leaves_all,mean_Flowers_all,mean_Animal_all,sd_Fruits_all,sd_Seeds_all,sd_Leaves_all,sd_Flowers_all,sd_Animals_all
pop,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,"Ramnagar, Nepal",Forest,0,1,closed,1,Diurnal, , , , , , , ,8, ,14, , , , , , , ,22,3,wp,FFMM,0.636363636,groups,one,yes,T,16.03333333,11.46333333,11.44,2.706165799,1.469364942, ,53.2, ,41.15,5.7, , , ,3.040559159,4.666904756, 
pop,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,"Shimla, Himachal Padresh",Artificial,0,0,,1,Diurnal, , , , , , , ,1, ,3, , , , , , , ,4,1,wp,FFMM,0.75,groups,one,none,T,16.03333333,11.46333333,11.44,2.706165799,1.469364942, ,53.2, ,41.15,5.7, , , ,3.040559159,4.666904756, 
pop,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,"Jodhpur, India",Forest,0,1,closed,1,Diurnal, , , , , , , ,31, , , , , , , , , ,31,2,none,MFF,1,groups,one,yes,T,16.03333333,11.46333333,11.44,2.706165799,1.469364942, ,53.2, ,41.15,5.7, , , ,3.040559159,4.666904756, 
pop,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,"Ghats, India",Forest_Grassland,1,1,both,2,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,T,16.03333333,11.46333333,11.44,2.706165799,1.469364942, ,53.2, ,41.15,5.7, , , ,3.040559159,4.666904756, 
pop,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,"Jessore, Bangladesh",Artificial_Grassland_Shrubland,1,0,open,3,Diurnal, , , , , , , ,1, ,6, , , , , , , ,7,1,wp,FFMM,0.857142857,groups,one,none,T,16.03333333,11.46333333,11.44,2.706165799,1.469364942, ,53.2, ,41.15,5.7, , , ,3.040559159,4.666904756, 
sp,Semnopithecus_hector,Tarai Grey Langur, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Semnopithecus_hypoleucos,Black-Footed Grey Langur / Malabar Sacred Langur, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,2, , , , , , , , ,2,2, ,none,MFF,1,groups,one,none,BOTH,13.725,10.875,13.1,1.449568901,0.813172798, ,29, ,58,7, ,0, ,0,0, 
pop,Semnopithecus_hypoleucos,Black-Footed Grey Langur,"Gerusoppa, India",Forest,0,1,closed,1,Diurnal, , , , , , , ,2, , , , , , , , , ,2,2,none,MFF,1,groups,one,none,BOTH,13.725,10.875,13.1,1.449568901,0.813172798, ,29, ,58,7, ,0, ,0,0, 
sp,Semnopithecus_priam,Tufted Grey Langur, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Semnopithecus_schistaceus,Nepal Grey langur, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,5, , , , , , ,3,6, ,wp,FFMM,0.833333333,groups,one,none,BOTH,19.15,14.40666667,17,0.070710678,1.920451336, ,20, ,56.5,8.5,1.7, , , , , 
pop,Semnopithecus_schistaceus,Nepal Grey langur,"Ramnagar, Nepal",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,5, , , , , , , ,6,3,wp,FFMM,0.833333333,groups,one,none,BOTH,19.15,14.40666667,17,0.070710678,1.920451336, ,20, ,56.5,8.5,1.7, , , , , 
sp,Simias_concolor,Pig-tailed Langur / Simakobu Monkey, ,Forest_Wetland,0,1,closed,2,Diurnal,4, , , , ,10, ,22, ,1, ,1, , , , ,5,33, ,both,MFF,0.666666667, ,one,yes,AR,8.925,6.95,7.97,0.318198052,0.212132034, ,30,15,35,15,2, , , , , 
pop,Simias_concolor,Pig-tailed Langur / Simakobu Monkey,"Pagai Island, Indonesia",Forest_Wetland,0,1,closed,2,Diurnal,4, , , , ,9, ,10, ,1, ,1, , , , , ,20,1,wp,MFF,0.5,groups,one,none,AR,8.925,6.95,7.97,0.318198052,0.212132034, ,30,15,35,15,2, , , , , 
pop,Simias_concolor,Pig-tailed Langur / Simakobu Monkey,"Mentawai Island, Indonesia",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , ,4, , , , , , , , , ,4,2,none,MFF,1,groups,one,yes,AR,8.925,6.95,7.97,0.318198052,0.212132034, ,30,15,35,15,2, , , , , 
pop,Simias_concolor,Pig-tailed Langur / Simakobu Monkey,"Siberut Island, Indonesia",Forest_Wetland,0,1,closed,2,Diurnal, , , , , ,1, ,8, , , , , , , , , ,9,2,wp,MFF,0.888888889,groups,one,yes,AR,8.925,6.95,7.97,0.318198052,0.212132034, ,30,15,35,15,2, , , , , 
sp,Symphalangus_syndactylus,Siamang, ,Forest,0,1,closed,1,Diurnal,1, , , , ,24, ,20,8, , , , , , , ,7,52, ,bp,MF,0.461538462,groups,one,yes,AR,11.4,10.7,11.3,0.707106781,0, ,49.0625, ,24.65,6.5,12.00333333,11.29597089, ,10.81873375,7.778174593,10.81110694
pop,Symphalangus_syndactylus,Siamang,"Ketambe Research Station, Indonesia",Forest,0,1,closed,1,Diurnal, , , , , ,3, , , , , , , , , , , ,3,1,none,MF,1,groups,one,yes,AR,11.4,10.7,11.3,0.707106781,0, ,49.0625, ,24.65,6.5,12.00333333,11.29597089, ,10.81873375,7.778174593,10.81110694
pop,Symphalangus_syndactylus,Siamang,"Pahang, Malaysia",Forest,0,1,closed,1,Diurnal,1, , , , ,3, , , , , , , , , , , ,3,2,none,MF,1,groups,one,none,AR,11.4,10.7,11.3,0.707106781,0, ,49.0625, ,24.65,6.5,12.00333333,11.29597089, ,10.81873375,7.778174593,10.81110694
pop,Symphalangus_syndactylus,Siamang,"Bukit Barisan Selatan National Park, Sumatra, Indonesia",Forest,0,1,closed,1,Diurnal, , , , , ,18, ,20,8, , , , , , , , ,46,4,wp,MFF,0.434782609,groups,one,yes,AR,11.4,10.7,11.3,0.707106781,0, ,49.0625, ,24.65,6.5,12.00333333,11.29597089, ,10.81873375,7.778174593,10.81110694
sp,Tarsius_bancanus,Western Tarsier, ,Forest,0,1,closed,1,Nocturnal, , ,5,2,2, , , , , , , , , , , ,1,2, ,none,solitary,1,solitary_groups,one,none,NA,0.12183,0.1169, , , , , , , , , , , , , , 
pop,Tarsius_bancanus,Western Tarsier,"Sabah, Borneo",Forest,0,1,closed,1,Nocturnal, , ,5,2,2, , , , , , , , , , , , ,2,1,none,solitary,1,solitary,one,none,NA,0.12183,0.1169, , , , , , , , , , , , , , 
sp,Tarsius_dentatus,Dian's Tarsier, ,Artificial_Forest,0,1,closed,2,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none,AR,0.118,0.105,0.113, , , , , , , , , , , , , 
sp,Tarsius_lariang,Lariang Tarsier, ,Forest,0,1,closed,1,Nocturnal, , , , , ,10, , , , , , , , , , ,1,10, ,none,MF,1,groups,one,none,AR,0.118,0.102, , , , , , , , , , , , , , 
pop,Tarsius_lariang,Lariang Tarsier,"Lore Lindu National Park, Indonesia",Forest,0,1,closed,1,Nocturnal, , , , , ,10, , , , , , , , , , , ,10,1,none,MF,1,groups,one,none,AR,0.118,0.102, , , , , , , , , , , , , , 
sp,Tarsius_pelengensis,Peleng Tarsier, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Tarsius_pumilus,Sulawesi Mountain/Pygmy Tariser, ,Forest,0,1,closed,1,Nocturnal, , , , , , , , ,1, , , , , , , ,1,1, ,none,FMM,1,groups,one,none,AR,0.0491,0.052,0.055, , , , , , , , , , , , , 
pop,Tarsius_pumilus,Sulawesi Mountain/Pygmy Tariser,"Lore Lindu National Park, Indonesia",Forest,0,1,closed,1,Nocturnal, , , , , , , , ,1, , , , , , , , ,1,1,none,FMM,1,groups,one,none,AR,0.0491,0.052,0.055, , , , , , , , , , , , , 
sp,Tarsius_sangirensis,Great Sangihe Tarsier, ,Artificial_Forest_Grassland_Wetland,1,1,both,4,Nocturnal, , ,1,1,1,3, , , ,1, , , , , , ,1,5, ,wp,MF,0.6,solitary_groups,one,none,AR,0.135,0.15,0.143, , , , , , , , , , , , , 
pop,Tarsius_sangirensis,Great Sangihe Tarsier,Sangihe Island,Artificial_Forest_Grassland_Wetland,1,1,both,4,Nocturnal, , ,1,1,1,3, , , ,1, , , , , , , ,5,1,wp,MF,0.6,solitary_groups,one,none,AR,0.135,0.15,0.143, , , , , , , , , , , , , 
sp,Tarsius_syrichta,Philippine Tarsier, ,Forest_Rocky,1,1,both,2,Nocturnal, , ,9,9,6,1, , , , , , , , , , ,3,7, ,both,solitary,0.857142857,solitary_groups,one,none,AR,0.138,0.1195, ,0.003535534, , , , , , , , , , , , 
pop,Tarsius_syrichta,Philippine Tarsier,"Bohol Island, Philippine",Forest_Rocky,1,1,both,2,Nocturnal, , ,5,8,5,1, , , , , , , , , , , ,6,2,wp,solitary,0.833333333,solitary_groups,one,none,AR,0.138,0.1195, ,0.003535534, , , , , , , , , , , , 
pop,Tarsius_syrichta,Philippine Tarsier,"Leyte Island, Philippine",Forest,0,1,closed,1,Nocturnal, , ,4,1,1, , , , , , , , , , , , ,1,1,none,solitary,1,solitary,one,none,AR,0.138,0.1195, ,0.003535534, , , , , , , , , , , , 
sp,Tarsius_tarsier,Spectral/Selayar Tarsier, ,Forest,0,1,closed,1,Nocturnal, , , , , ,34, ,7, ,1, , , , , , ,4,42, ,wp,MF,0.80952381,groups,one,none,AR,0.131,0.1175,0.122,0.007071068,0.00212132, , , , , ,100, , , , , 
pop,Tarsius_tarsier,Spectral/Selayar Tarsier,"Tangkoko Nature Reserve, Indonesia",Forest,0,1,closed,1,Nocturnal, , , , , ,34, ,7, ,1, , , , , , , ,42,4,wp,MF,0.80952381,groups,one,none,AR,0.131,0.1175,0.122,0.007071068,0.00212132, , , , , ,100, , , , , 
sp,Tarsius_tumpara,Siau Island Tarsier, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Tarsius_wallacei,Wallace's Tarsier, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Theropithecus_gelada,Gelada Baboon, ,Artificial_Grassland_Rocky_Shrubland_Wetland,1,1,both,4,Diurnal,1, , , , ,2, ,27,1,9, , , , , , ,7,39, ,wp,MFF,0.692307692,groups,ml,none,T,19,11.7, , , , , , ,94.6, ,2.8, , , , , 
pop,Theropithecus_gelada,Gelada Baboon,"Simien Mountain National Park, Ethiopia",Grassland,1,0,open,1,Diurnal, , , , , , , ,9, ,6, , , , , , , ,15,5,wp,MFF,0.6,groups,ml,none,T,19,11.7, , , , , , ,94.6, ,2.8, , , , , 
pop,Theropithecus_gelada,Gelada Baboon,"Arsi, Ethiopia",Artificial_Grasslands_Rocky_Shrubland,1,0,open,4,Diurnal, , , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,ml,none,T,19,11.7, , , , , , ,94.6, ,2.8, , , , , 
pop,Theropithecus_gelada,Gelada Baboon,"Gado Goro, Ethiopia",Grassland_Wetland,1,1,both,2,Diurnal,1, , , , ,2, ,17,1,2, , , , , , , ,22,1,wp,MFF,0.772727273,groups,ml,none,T,19,11.7, , , , , , ,94.6, ,2.8, , , , , 
sp,Trachypithecus_auratus,Javan Lutung, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,4, ,4, , , , , , ,4,8, ,bp,MFF_FFMM,0.5,groups,one,none,AR,7.1, , , , , ,25.79,3.855,53.64166667,10.11,1,11.8314961,0.205060967,9.244739495,5.44741223, 
pop,Trachypithecus_auratus,Javan Lutung,"Pangandaran Nature Reserve, Indonesia",Forest,0,1,closed,1,Diurnal, , , , , , , ,4, , , , , , , , , ,4,3,none,MFF,1,groups,one,none,AR,7.1, , , , , ,25.79,3.855,53.64166667,10.11,1,11.8314961,0.205060967,9.244739495,5.44741223, 
pop,Trachypithecus_auratus,Javan Lutung,"Bromo Tengger Semeru National Park, Indonesia",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,4, , , , , , , ,4,2,none,FFMM,1,groups,one,none,AR,7.1, , , , , ,25.79,3.855,53.64166667,10.11,1,11.8314961,0.205060967,9.244739495,5.44741223, 
sp,Trachypithecus_barbei,Tenasserim Lutung/Barbe's Leaf Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Trachypithecus_cristatus,Silvered leaf Monkey, ,Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , , , ,2, , , , , , ,1,2, ,none,FFMM,1,groups,one,none,AR,6.78,5.74,6.25,0.219696761,0.056568542, , , , , , , , , , , 
