"","sp.pop","Genus_species","Genus","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_Rowe","mean_Female_Rowe","mean_other_Rowe","sd_Male_Rowe","sd_Female_Rowe","sd_other_Rowe","mean_Fruits_rowe","mean_Seeds_rowe","mean_Leaves_rowe","mean_Flowers_rowe","mean_Animal_rowe","sd_Fruits_rowe","sd_Seeds_rowe","sd_Leaves_rowe","sd_Flowers_rowe","sd_Animals_rowe","IVSO_prop","IVSOint","superfamily"
"2","sp","Allocebus_trichotis","Allocebus","Hairy-eared Dwarf Lemur"," ","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,"none","FFMM","FFMM",1,"solitary","one","none","AR",0.083,0.078,0.081,NA,NA,NA,14,NA,NA,14,51.75,NA,NA,NA,NA,15.2027958,0,0,"Lemuroidea"
"3","pop","Allocebus_trichotis","Allocebus","Hairy-eared Dwarf Lemur","Analamazaotra Special Reserve, Central Eastern Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"solitary","one","none","AR",0.083,0.078,0.081,NA,NA,NA,14,NA,NA,14,51.75,NA,NA,NA,NA,15.2027958,0,0,"Lemuroidea"
"5","pop","Cercopithecus_preussi","Allochrocebus","L'hoest's Monkey","Mount Kilum, Cameroun","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"one","one","none","T",7.175,3.6,NA,0.247487373,NA,NA,51.9,NA,1.6,1.2,0.2,NA,NA,NA,NA,NA,0.5,1,"Cercopithecoidea"
"6","sp","Cercopithecus_preussi","Allochrocebus","Preuss's Monkey"," ","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,"wp","MFF","FFMM",0.5,"one","one","none","T",7.175,3.6,NA,0.247487373,NA,NA,51.9,NA,1.6,1.2,0.2,NA,NA,NA,NA,NA,0.5,1,"Cercopithecoidea"
"10","sp","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey"," ","Forest_Wetland_Grassland",1,1,"both",3,"Diurnal",NA,1,NA,NA,NA,5,NA,45,2,46,NA,NA,NA,NA,NA,NA,11,98,NA,"both","FFMM","FFMM",0.469387755,"groups","one","yes","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.530612245,52,"Ceboidea"
"11","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","Beco Xavier Tupancireta, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0,0,"Ceboidea"
"12","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","Establecimiento Nossa Senora da Conceicao, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.5,1,"Ceboidea"
"13","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","Estancia Casa Branca, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0,0,"Ceboidea"
"14","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","Isla Brasilera, Argentina","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,7,NA,21,NA,NA,NA,NA,NA,NA,NA,28,5,"wp","FFMM","FFMM",0.75,"groups","one","yes","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.25,7,"Ceboidea"
"15","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","Protected area of upper Panama river, Brazil","Forest_Wetland_Grassland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,NA,11,1,"wp","FFMM","FFMM",0.818181818,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.181818182,2,"Ceboidea"
"16","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","San cayetano Corrientese, Argentina","Forest_Grassland",1,1,"both",2,"Diurnal",NA,1,NA,NA,NA,NA,NA,32,NA,8,NA,NA,NA,NA,NA,NA,NA,40,2,"wp","MFF","MFF",0.8,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.2,7,"Ceboidea"
"17","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","Sao Francisco de Assis, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,2,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,7,1,"wp","FFMM","FFMM",0.428571429,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.571428571,3,"Ceboidea"
"18","pop","Alouatta_caraya","Alouatta","Paranguyan Howler Monkey","Tocantins River, Brazil","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,8,1,"wp","FFMM","FFMM",0.5,"groups","one","none","AR",7.171428571,4.195,NA,0.531834203,0.710823466,NA,19.88,0.4,75.5,4.88,NA,5.784202624,NA,24.26406808,4.37344258,NA,0.5,4,"Ceboidea"
"20","sp","Alouatta_discolor","Alouatta","Spix's Howler Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"none","MFF","MFF",1,"groups","one","none","AR",7.25,5.5,6.37,NA,NA,NA,55.6,NA,24.8,5.7,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"21","pop","Alouatta_discolor","Alouatta","Spix's Howler Monkey","Teles Pires River, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",7.25,5.5,6.37,NA,NA,NA,55.6,NA,24.8,5.7,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"22","sp","Alouatta_guariba","Alouatta","Brown Howler Monkey"," "," ",0,0,"",2,"Diurnal",1,NA,NA,3,NA,2,NA,12,NA,4,NA,NA,NA,NA,NA,NA,6,18,NA,"wp","MFF","MFF",0.666666667,"groups","ff","yes","AR",6.49,4.45,NA,0.339411255,0.141421356,NA,24.3,NA,62.1,11.75,NA,21.00737966,NA,24.3538498,0.070710678,NA,0.333333333,5,"Ceboidea"
"23","pop","Alouatta_guariba","Alouatta","Brown Howler Monkey","Sao Francisco de Assis, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",6.49,4.45,NA,0.339411255,0.141421356,NA,24.3,NA,62.1,11.75,NA,21.00737966,NA,24.3538498,0.070710678,NA,0,0,"Ceboidea"
"24","pop","Alouatta_guariba","Alouatta","Brown Howler Monkey","Campo de instrucao de santa maria, Brazil","Forest_Grassland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"none","MFF","MFF",1,"groups","one","none","AR",6.49,4.45,NA,0.339411255,0.141421356,NA,24.3,NA,62.1,11.75,NA,21.00737966,NA,24.3538498,0.070710678,NA,0,0,"Ceboidea"
"25","pop","Alouatta_guariba","Alouatta","Brown Howler Monkey","Moro Geisler, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"wp","MFF","MFF",0.666666667,"groups","one","none","AR",6.49,4.45,NA,0.339411255,0.141421356,NA,24.3,NA,62.1,11.75,NA,21.00737966,NA,24.3538498,0.070710678,NA,0.333333333,0,"Ceboidea"
"26","pop","Alouatta_guariba","Alouatta","Brown Howler Monkey","Chacara payquere do Bugre, Brazil","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,3,NA,1,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,9,1,"wp","MFF","FFMM",0.444444444,"groups","ff","yes","AR",6.49,4.45,NA,0.339411255,0.141421356,NA,24.3,NA,62.1,11.75,NA,21.00737966,NA,24.3538498,0.070710678,NA,0.555555556,5,"Ceboidea"
"27","pop","Alouatta_guariba","Alouatta","Brown Howler Monkey","Parque Sao Paulo Village","Forest_Artificial",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",6.49,4.45,NA,0.339411255,0.141421356,NA,24.3,NA,62.1,11.75,NA,21.00737966,NA,24.3538498,0.070710678,NA,0,0,"Ceboidea"
"28","pop","Alouatta_guariba","Alouatta","Brown Howler Monkey","Porto Allegre, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",6.49,4.45,NA,0.339411255,0.141421356,NA,24.3,NA,62.1,11.75,NA,21.00737966,NA,24.3538498,0.070710678,NA,0,0,"Ceboidea"
"31","sp","Alouatta_palliata","Alouatta","Mantled Howler Monkey"," "," ",0,0,"",2,"Diurnal",13,NA,NA,NA,NA,NA,NA,9,2,45,NA,NA,NA,NA,NA,NA,19,56,NA,"both","FFMM","FFMM",0.813559322,"groups","one","none","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0.186440678,10,"Ceboidea"
"32","pop","Alouatta_palliata","Alouatta","Mantled Howler Monkey","Los Tuxlas, Mexico","Forest_Artificial",0,1,"closed",2,"Diurnal",13,NA,NA,NA,NA,NA,NA,2,1,14,NA,NA,NA,NA,NA,NA,NA,17,5,"wp","FFMM","FFMM",0.823529412,"groups","one","none","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0.176470588,2,"Ceboidea"
"33","pop","Alouatta_palliata","Alouatta","Mantled Howler Monkey","Isla de Ometepe, Mexico","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0,0,"Ceboidea"
"34","pop","Alouatta_palliata","Alouatta","Mantled Howler Monkey","Hacienda la pacifica, Costa Rica","Forest_Artificial",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,7,"none","FFMM","FFMM",1,"groups","one","yes","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0,0,"Ceboidea"
"35","pop","Alouatta_palliata","Alouatta","Mantled Howler Monkey","Agaltepec island","Forest_Grassland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0,0,"Ceboidea"
"36","pop","Alouatta_palliata","Alouatta","Mantled Howler Monkey","Macuspana, Tabasco","Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,2,"none","FFMM","FFMM",1,"groups","one","none","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0,0,"Ceboidea"
"37","pop","Alouatta_palliata","Alouatta","Mantled Howler Monkey","Barro Colorado Island, Panama","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,10,2,"wp","FFMM","FFMM",0.8,"groups","one","none","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0.2,1,"Ceboidea"
"38","pop","Alouatta_palliata","Alouatta","Mantled Howler Monkey","Tabasco y Dolores, Mexico","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,5,1,7,NA,NA,NA,NA,NA,NA,NA,13,1,"wp","FFMM","FFMM",0.538461538,"groups","one","none","AR",6.1365,5.1025,NA,0.160513239,0.350017857,NA,25.75,5,56.8,11.6,NA,18.7383297,NA,9.616652224,9.333809512,NA,0.461538462,6,"Ceboidea"
"39","sp","Alouatta_pigra","Alouatta","Central American Black Howler Monkey"," ","Forest_Shrubland_Artificial",1,1,"both",2,"Diurnal",8,NA,NA,NA,NA,6,NA,36,6,39,NA,NA,NA,NA,NA,NA,9,87,NA,"both","FFMM","FFMM",0.448275862,"groups"," ","none","AR",6.62625,4.947,NA,0.107833784,0.202232539,NA,36.506,NA,46.796,6.133333333,NA,5.801437753,NA,20.43096865,3.971565602,NA,0.551724138,48,"Ceboidea"
"40","pop","Alouatta_pigra","Alouatta","Central American Black Howler Monkey","Palenque National Park, Mexico","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,3,10,NA,NA,NA,NA,NA,NA,NA,17,3,"wp","FFMM","FFMM",0.588235294,"groups","one","none","AR",6.62625,4.947,NA,0.107833784,0.202232539,NA,36.506,NA,46.796,6.133333333,NA,5.801437753,NA,20.43096865,3.971565602,NA,0.411764706,7,"Ceboidea"
"41","pop","Alouatta_pigra","Alouatta","Central American Black Howler Monkey","Muscapana Tabasco, Mexico","Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","AR",6.62625,4.947,NA,0.107833784,0.202232539,NA,36.506,NA,46.796,6.133333333,NA,5.801437753,NA,20.43096865,3.971565602,NA,0,0,"Ceboidea"
"42","pop","Alouatta_pigra","Alouatta","Central American Black Howler Monkey","Muscapana area, private catle, Mexico","Artificial_Shrubland",1,0,"open",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MFF","MFF",1,"groups","one","none","AR",6.62625,4.947,NA,0.107833784,0.202232539,NA,36.506,NA,46.796,6.133333333,NA,5.801437753,NA,20.43096865,3.971565602,NA,0,0,"Ceboidea"
"43","pop","Alouatta_pigra","Alouatta","Central American Black Howler Monkey","Mexican state of Campeche, Mexico","Forest_Artificial",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,1,NA,6,1,11,NA,NA,NA,NA,NA,NA,NA,19,2,"wp","FFMM","FFMM",0.578947368,"groups","one","none","AR",6.62625,4.947,NA,0.107833784,0.202232539,NA,36.506,NA,46.796,6.133333333,NA,5.801437753,NA,20.43096865,3.971565602,NA,0.421052632,8,"Ceboidea"
"44","pop","Alouatta_pigra","Alouatta","Central American Black Howler Monkey","Leona Vicario, Mexico","Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",6.62625,4.947,NA,0.107833784,0.202232539,NA,36.506,NA,46.796,6.133333333,NA,5.801437753,NA,20.43096865,3.971565602,NA,0,0,"Ceboidea"
"45","pop","Alouatta_pigra","Alouatta","Central American Black Howler Monkey","Comunity Baboon Sanctuary and CBWS, Belize","Artificial",0,0,"",1,"Diurnal",8,NA,NA,NA,NA,5,NA,24,2,15,NA,NA,NA,NA,NA,NA,NA,46,1,"wp","MFF","MFF",0.52173913,"groups","one","none","AR",6.62625,4.947,NA,0.107833784,0.202232539,NA,36.506,NA,46.796,6.133333333,NA,5.801437753,NA,20.43096865,3.971565602,NA,0.47826087,22,"Ceboidea"
"46","sp","Alouatta_sara","Alouatta","Bolivian Red Howler Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,5,NA,11,NA,11,NA,NA,NA,NA,NA,NA,1,27,NA,"wp","MFF","FFMM",0.407407407,"groups","one","none","AR",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.592592593,16,"Ceboidea"
"47","pop","Alouatta_sara","Alouatta","Bolivian Red Howler Monkey","Santa Rosa del Sara y Buena Vista, Bolivia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,5,NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,27,1,"wp","MFF","FFMM",0.407407407,"groups","one","none","AR",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.592592593,16,"Ceboidea"
"48","sp","Alouatta_seniculus","Alouatta","Colombian Red Howler Monkey"," "," ",0,0,"",2,"Diurnal",NA,NA,NA,NA,NA,1,NA,1,NA,17,NA,NA,NA,NA,NA,NA,5,19,NA,"both","FFMM","FFMM",0.894736842,"groups","one","none","AR",7.58925,6.0205,NA,1.812496138,1.706339064,NA,36.775,10.56666667,50.625,3.55,NA,16.5149175,14.05216472,1.291962332,1.793506807,NA,0.105263158,2,"Ceboidea"
"49","pop","Alouatta_seniculus","Alouatta","Colombian Red Howler Monkey","La Montana de Ocaso, Colombian Andes","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,1,"none","FFMM","FFMM",1,"groups","one","none","AR",7.58925,6.0205,NA,1.812496138,1.706339064,NA,36.775,10.56666667,50.625,3.55,NA,16.5149175,14.05216472,1.291962332,1.793506807,NA,0,0,"Ceboidea"
"50","pop","Alouatta_seniculus","Alouatta","Colombian Red Howler Monkey","Hato Masaguaral, Venezuela","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,4,2,"wp","FFMM","FFMM",0.75,"groups","one","none","AR",7.58925,6.0205,NA,1.812496138,1.706339064,NA,36.775,10.56666667,50.625,3.55,NA,16.5149175,14.05216472,1.291962332,1.793506807,NA,0.25,1,"Ceboidea"
"51","pop","Alouatta_seniculus","Alouatta","Colombian Red Howler Monkey","El Frio, Venezuela","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,1,"none","FFMM","FFMM",1,"groups","one","none","AR",7.58925,6.0205,NA,1.812496138,1.706339064,NA,36.775,10.56666667,50.625,3.55,NA,16.5149175,14.05216472,1.291962332,1.793506807,NA,0,0,"Ceboidea"
"52","pop","Alouatta_seniculus","Alouatta","Colombian Red Howler Monkey","Petit Saut Electric Dam","Artificial_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",7.58925,6.0205,NA,1.812496138,1.706339064,NA,36.775,10.56666667,50.625,3.55,NA,16.5149175,14.05216472,1.291962332,1.793506807,NA,0,0,"Ceboidea"
"54","sp","Aotus_azarae","Aotus","Azara's Night Monkey","cattle ranch Estancia Guaycolec"," ",0,0,"",NA,"Cathemeral",NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,1,"none","MF","MF",1," ","one","none"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"55","pop","Aotus_azarae","Aotus","Azara's Night Monkey","cattle ranch Estancia Guaycolec"," ",0,0,"",NA,"Cathemeral",NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,1,"none","MF","MF",1," ","one","none"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"63","sp","Aotus_nigriceps","Aotus","Black-headed Night Monkey"," "," ",0,0,"",1,"Nocturnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"none","MF","MF",1,"groups","one","none","AR",0.875,1.04,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"64","pop","Aotus_nigriceps","Aotus","Black-headed Night Monkey","Manu Learning Centre, Peru","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",0.875,1.04,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"67","sp","Aotus_zonalis","Aotus","Panamanian Night Monkey"," ","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,"none","MF","MF",1,"groups","one","none","AR",0.889,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"68","pop","Aotus_zonalis","Aotus","Panamanian Night Monkey","Campo Chagres, Panama","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,"none","MF","MF",1,"groups","one","none","AR",0.889,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"69","pop","Aotus_zonalis","Aotus","Panamanian Night Monkey","Cerro Azul, Panama","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"none","MF","MF",1,"groups","one","none","AR",0.889,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"72","sp","Ateles_belzebuth","Ateles","White-bellied Spider Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,5,9,NA,"none","FFMM","FFMM",1,"groups"," ","none","AR",8.396,7.996,NA,0.192333044,0.164048773,NA,84.4,NA,7.666666667,1.15,NA,6.710439628,NA,0.65064071,0.212132034,NA,0,0,"Ceboidea"
"73","pop","Ateles_belzebuth","Ateles","White-bellied Spider Monkey","La Macarena, Columbia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,3,"none","FFMM","FFMM",1,"groups"," ","none","AR",8.396,7.996,NA,0.192333044,0.164048773,NA,84.4,NA,7.666666667,1.15,NA,6.710439628,NA,0.65064071,0.212132034,NA,0,0,"Ceboidea"
"74","pop","Ateles_belzebuth","Ateles","White-bellied Spider Monkey","Manu National Park, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,1,"none","FFMM","FFMM",1,"groups"," ","none","AR",8.396,7.996,NA,0.192333044,0.164048773,NA,84.4,NA,7.666666667,1.15,NA,6.710439628,NA,0.65064071,0.212132034,NA,0,0,"Ceboidea"
"75","pop","Ateles_belzebuth","Ateles","White-bellied Spider Monkey","Yasuni National Park, Ecuador","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,"none","FFMM","FFMM",1,"groups"," ","none","AR",8.396,7.996,NA,0.192333044,0.164048773,NA,84.4,NA,7.666666667,1.15,NA,6.710439628,NA,0.65064071,0.212132034,NA,0,0,"Ceboidea"
"76","sp","Ateles_chamek","Ateles","Black Spider Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,3,NA,"none","FFMM","FFMM",1,"groups","ff","none","AR",7,5,NA,NA,NA,NA,80.25,NA,13.1,3.7,NA,7.848885271,NA,3.39411255,1.13137085,NA,0,0,"Ceboidea"
"77","pop","Ateles_chamek","Ateles","Black Spider Monkey","Lago Caiman, Bolivia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","ff","none","AR",7,5,NA,NA,NA,NA,80.25,NA,13.1,3.7,NA,7.848885271,NA,3.39411255,1.13137085,NA,0,0,"Ceboidea"
"78","pop","Ateles_chamek","Ateles","Black Spider Monkey","Manu National Park, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","AR",7,5,NA,NA,NA,NA,80.25,NA,13.1,3.7,NA,7.848885271,NA,3.39411255,1.13137085,NA,0,0,"Ceboidea"
"80","sp","Ateles_geoffroyi","Ateles","Central American Spider Monkey"," ","Forest_Grassland_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,23,NA,NA,NA,NA,NA,NA,15,26,NA,"both","FFMM","FFMM",0.884615385,"groups","ff","none","AR",8.14125,7.2675,7.704,0.253849529,0.460864044,NA,67.084,NA,15.404,10.876,2,10.52792857,NA,4.159697104,9.638769631,0.141421356,0.115384615,2,"Ceboidea"
