Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style,Activity_pattern
Allocebus,Allocebus_trichotis,Hairy-eared Dwarf Lemur,Lemuroidea,none,FFMM,1,FFMM,solitary,Nocturnal
Cercopithecus,Cercopithecus_preussi,Preuss's Monkey,Cercopithecoidea,wp,MFF,0.5,FFMM,one,Diurnal
Alouatta,Alouatta_caraya,Paranguyan Howler Monkey,Ceboidea,both,FFMM,0.469387755,FFMM,groups,Diurnal
Alouatta,Alouatta_discolor,Spix's Howler Monkey,Ceboidea,none,MFF,1,MFF,groups,Diurnal
Alouatta,Alouatta_guariba,Brown Howler Monkey,Ceboidea,wp,MFF,0.666666667,MFF,groups,Diurnal
Alouatta,Alouatta_palliata,Mantled Howler Monkey,Ceboidea,both,FFMM,0.813559322,FFMM,groups,Diurnal
Alouatta,Alouatta_pigra,Central American Black Howler Monkey,Ceboidea,both,FFMM,0.448275862,FFMM,groups,Diurnal
Alouatta,Alouatta_sara,Bolivian Red Howler Monkey,Ceboidea,wp,MFF,0.407407407,FFMM,groups,Diurnal
Alouatta,Alouatta_seniculus,Colombian Red Howler Monkey,Ceboidea,both,FFMM,0.894736842,FFMM,groups,Diurnal
Aotus,Aotus_azarae,Azara's Night Monkey,Ceboidea,none,MF,1,MF,NA,Cathemeral
Aotus,Aotus_nigriceps,Black-headed Night Monkey,Ceboidea,none,MF,1,MF,groups,Nocturnal
Aotus,Aotus_zonalis,Panamanian Night Monkey,Ceboidea,none,MF,1,MF,groups,Nocturnal
Ateles,Ateles_belzebuth,White-bellied Spider Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Ateles,Ateles_chamek,Black Spider Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Ateles,Ateles_geoffroyi,Central American Spider Monkey,Ceboidea,both,FFMM,0.884615385,FFMM,groups,Diurnal
Ateles,Ateles_hybridus,Variegated Spider Monkey,Ceboidea,wp,FFMM,0.75,FFMM,groups,Diurnal
Ateles,Ateles_marginatus,White-Whiskered Spider Monkey,Ceboidea,wp,FFMM,0.6,FFMM,groups,Diurnal
Avahi,Avahi_laniger,Eastern Wooly Lemur,Lemuroidea,none,MF,1,MF,solitary_groups,Nocturnal
