Order,Superfamily,Genus,Species,character_data
Primates,Lemuroidea,Lemur,Lemur_catta,G
Primates,Ceboidea,Leontopithecus,Leontopithecus_caissara,P
Primates,Ceboidea,Leontopithecus,Leontopithecus_chrysopygus,P
Primates,Ceboidea,Leontopithecus,Leontopithecus_rosalia,P
Primates,Lemuroidea,Lepilemur,Lepilemur_edwardsi,P
Primates,Lemuroidea,Lepilemur,Lepilemur_leucopus,P
Primates,Lemuroidea,Lepilemur,Lepilemur_mustelinus,S
Primates,Lemuroidea,Lepilemur,Lepilemur_ruficaudatus,P
Primates,Cercopithecoidea,Lophocebus,Lophocebus_albigena,G
Primates,Lorisoidea,Loris,Loris_lydekkerianus,S
Primates,Cercopithecoidea,Macaca,Macaca_arctoides,G
Primates,Cercopithecoidea,Macaca,Macaca_assamensis,G
Primates,Cercopithecoidea,Macaca,Macaca_cyclopis,G
Primates,Cercopithecoidea,Macaca,Macaca_fascicularis,G
Primates,Cercopithecoidea,Macaca,Macaca_fuscata,G
Primates,Cercopithecoidea,Macaca,Macaca_leonina,G
Primates,Cercopithecoidea,Macaca,Macaca_maura,G
Primates,Cercopithecoidea,Macaca,Macaca_mulatta,G
Primates,Cercopithecoidea,Macaca,Macaca_munzala,G
Primates,Cercopithecoidea,Macaca,Macaca_nemestrina,G
Primates,Cercopithecoidea,Macaca,Macaca_nigra,G
Primates,Cercopithecoidea,Macaca,Macaca_radiata,G
Primates,Cercopithecoidea,Macaca,Macaca_siberu,G
Primates,Cercopithecoidea,Macaca,Macaca_silenus,G
Primates,Cercopithecoidea,Macaca,Macaca_sinica,G
Primates,Cercopithecoidea,Macaca,Macaca_sylvanus,G
Primates,Cercopithecoidea,Macaca,Macaca_thibetana,G
Primates,Cercopithecoidea,Macaca,Macaca_tonkeana,G
Primates,Cercopithecoidea,Mandrillus,Mandrillus_leucophaeus,G
Primates,Cercopithecoidea,Mandrillus,Mandrillus_sphinx,G
Primates,Ceboidea,Mico,Mico_argentatus,P
Primates,Lemuroidea,Microcebus,Microcebus_murinus,S
Primates,Lemuroidea,Microcebus,Microcebus_ravelobensis,S
Primates,Cercopithecoidea,Miopithecus,Miopithecus_talapoin,G
Primates,Lemuroidea,Mirza,Mirza_coquereli,S
Primates,Cercopithecoidea,Nasalis,Nasalis_larvatus,G
Primates,Hominoidea,Nomascus,Nomascus_concolor,G
Primates,Hominoidea,Nomascus,Nomascus_gabriellae,P
Primates,Hominoidea,Nomascus,Nomascus_hainanus,G
Primates,Hominoidea,Nomascus,Nomascus_nasutus,G
Primates,Lorisoidea,Nycticebus,Nycticebus_coucang,S
Primates,Lorisoidea,Otolemur,Otolemur_crassicaudatus,S
